Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30
Revenue,1631068000.0,1559095000.0,1318452000.0,1115311000.0,1071551000.0,913615000.0,722943000.0,728867000.0
Revenue Growth,0.0462,0.1825,0.1821,0.0408,0.1729,0.2637,-0.0081,
Cost of Revenue,997077000.0,944276000.0,860423000.0,737857000.0,724881000.0,714825000.0,533282000.0,530307000.0
Gross Profit,633991000.0,614819000.0,458029000.0,377454000.0,346670000.0,198790000.0,189661000.0,198560000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,528672000.0,469276000.0,406951000.0,333603000.0,238318000.0,221109000.0,176139000.0,171757000.0
Operating Expenses,647865000.0,591762000.0,514339000.0,436085000.0,347076000.0,312818000.0,248690000.0,234697000.0
Operating Income,-13874000.0,23057000.0,-56310000.0,-58631000.0,-406000.0,-114028000.0,-59029000.0,-36137000.0
Interest Expense,20410000.0,15415000.0,4189000.0,2028000.0,2498000.0,1528000.0,2204000.0,1251000.0
Earnings before Tax,12775000.0,24722000.0,-77127000.0,-76993000.0,-40248000.0,-115236000.0,-57141000.0,-29932000.0
Income Tax Expense,1348000.0,-116872000.0,-4404000.0,297000.0,436000.0,1697000.0,1133000.0,6350000.0
Net Income - Non-Controlling int,-14544000.0,-7146000.0,-4066000.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,11427000.0,141594000.0,-72723000.0,-77290000.0,-40684000.0,-116933000.0,-58274000.0,-36282000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,11427000.0,141594000.0,-72723000.0,-77290000.0,-40684000.0,-116933000.0,-58274000.0,-36282000.0
EPS,0.48,5.99,-3.05,-3.12,-1.63,-4.69,,
EPS Diluted,0.48,5.94,-3.05,-3.12,-1.63,-4.69,,
Weighted Average Shs Out,23758510.0,23663359.0,23543781.0,24466225.0,24975559.0,24975559.0,,
Weighted Average Shs Out (Dil),23767000.0,23639000.0,23853000.0,24754000.0,24928000.0,24928000.0,,
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.3887,0.3943,0.3474,0.3384,0.3235,0.2176,0.2623,0.2724
EBITDA Margin,0.093,0.104,0.026,0.025,0.066,-0.024,0.024,0.047
EBIT Margin,0.0203,0.0257,-0.0553,-0.0672,-0.0352,-0.1245,-0.076,-0.0394
Profit Margin,0.007,0.091,-0.055,-0.069,-0.038,-0.128,-0.081,-0.05
Free Cash Flow margin,-0.0169,0.0165,0.136,0.0485,0.0089,-0.1837,-0.2208,-0.3916
EBITDA,152378000.0,162623000.0,34450000.0,27517000.0,71008000.0,-21999000.0,17614000.0,34259000.0
EBIT,33185000.0,40137000.0,-72938000.0,-74965000.0,-37750000.0,-113708000.0,-54937000.0,-28681000.0
Consolidated Income,-3117000.0,134448000.0,-76789000.0,-77290000.0,-40684000.0,-116933000.0,-58274000.0,-36282000.0
Earnings Before Tax Margin,0.0078,0.0159,-0.0585,-0.069,-0.0376,-0.1261,-0.079,-0.0411
Net Profit Margin,0.007,0.0908,-0.0552,-0.0693,-0.038,-0.128,-0.0806,-0.0498
