date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,revenue,7414000000.0,7887000000.0,7343000000.0,6380000000.0,6038000000.0,5695000000.0,5881000000.0,8696000000.0,8698000000.0,8203000000.0,19282000000.0,22044000000.0,30146000000.0,36622000000.0,42879000000.0,36843000000.0,31323000000.0,27058000000.0,26679000000.0,30004000000.0,37580000000.0,30931000000.0,29398000000.0,29794000000.0,27973000000.0,27037000000.0,22245000000.0
,costOfRevenue,3806000000.0,3956000000.0,3863000000.0,3356000000.0,3169000000.0,2976000000.0,3050000000.0,4455000000.0,4350000000.0,4057000000.0,12384000000.0,14987000000.0,21751000000.0,26670000000.0,30152000000.0,25066000000.0,20826000000.0,18101000000.0,17938000000.0,21445000000.0,23628000000.0,19158000000.0,20875000000.0,19993000000.0,18982000000.0,17545000000.0,13760000000.0
,grossProfit,3608000000.0,3931000000.0,3480000000.0,3024000000.0,2869000000.0,2719000000.0,2831000000.0,4241000000.0,4348000000.0,4146000000.0,6898000000.0,7057000000.0,8395000000.0,9952000000.0,12727000000.0,11777000000.0,10497000000.0,8957000000.0,8741000000.0,8559000000.0,13952000000.0,11773000000.0,8523000000.0,9801000000.0,8991000000.0,9492000000.0,8485000000.0
,grossProfitRatio,0.486646884272997,0.498415113477875,0.473920740841618,0.473981191222571,0.475157336866512,0.477436347673398,0.48138071756504,0.487695492180313,0.499885031041619,0.50542484456906,0.357742972720672,0.320132462348031,0.278478073376236,0.271749221779258,0.296811959234124,0.319653665553837,0.335121156977301,0.331029640032523,0.327635968364631,0.285261965071324,0.371261309207025,0.380621383078465,0.28991768147493,0.328958850775324,0.321417080756444,0.351074453526649,0.381434030119128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,686000000.0,687000000.0,637000000.0,568000000.0,553000000.0,620000000.0,681000000.0,1055000000.0,1075000000.0,1035000000.0,2530000000.0,3183000000.0,4109000000.0,4429000000.0,4106000000.0,3680000000.0,3060000000.0,3771000000.0,3754000000.0,4318000000.0,4437000000.0,3438000000.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,1293000000.0,1403000000.0,1254000000.0,979000000.0,1000000000.0,1021000000.0,1184000000.0,1838000000.0,1963000000.0,1912000000.0,3367000000.0,3381000000.0,4330000000.0,5092000000.0,4504000000.0,3859000000.0,4209000000.0,4073000000.0,4203000000.0,3703000000.0,5141000000.0,5045000000.0,5493000000.0,5515000000.0,4715000000.0,4642000000.0,4381000000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,82000000.0,88000000.0,78000000.0,7000000.0,9000000.0,5000000.0,-6000000.0,11000000.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,2194000000.0,2299000000.0,2136000000.0,1698000000.0,1666000000.0,1649000000.0,3786000000.0,2919000000.0,3067000000.0,2947000000.0,6109000000.0,7205000000.0,10478000000.0,10119000000.0,8635000000.0,7013000000.0,7380000000.0,7787000000.0,8780000000.0,10378000000.0,11930000000.0,10676000000.0,7701000000.0,7854000000.0,7031000000.0,6561000000.0,5906000000.0
,costAndExpenses,6000000000.0,6255000000.0,5999000000.0,5054000000.0,4835000000.0,4625000000.0,6836000000.0,7374000000.0,7417000000.0,7004000000.0,18493000000.0,22192000000.0,32229000000.0,36789000000.0,38787000000.0,32079000000.0,28206000000.0,25888000000.0,26718000000.0,31823000000.0,35558000000.0,29834000000.0,28576000000.0,27847000000.0,26013000000.0,24106000000.0,19666000000.0
,interestExpense,233000000.0,237000000.0,240000000.0,215000000.0,225000000.0,186000000.0,147000000.0,132000000.0,108000000.0,132000000.0,220000000.0,213000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,215000000.0,208000000.0,188000000.0,151000000.0,113000000.0,8000000.0,4000000.0,26000000.0,29000000.0,200000000.0,258000000.0,278000000.0,318000000.0,369000000.0,558000000.0,613000000.0,659000000.0,1667000000.0,2108000000.0,2357000000.0,2352000000.0,2193000000.0,2208000000.0,2339000000.0,2316000000.0,1919000000.0,1525000000.0
,EBITDA,1629000000.0,1840000000.0,1532000000.0,1477000000.0,1316000000.0,1078000000.0,-951000000.0,1348000000.0,1310000000.0,1399000000.0,1047000000.0,130000000.0,-1765000000.0,202000000.0,4650000000.0,5377000000.0,3776000000.0,2837000000.0,2069000000.0,538000000.0,4374000000.0,3290000000.0,3030000000.0,4286000000.0,4276000000.0,4850000000.0,4104000000.0
