date,,2021-04-30_FY,2020-04-30_FY,2019-04-30_FY,2018-04-30_FY,2017-04-30_FY
,revenue,57639104.0,-12469731.0,20221734.0,9224447.0,25437540.0
,costOfRevenue,0.0,0.0,0.0,0.0,5889170.0
,grossProfit,0.0,0.0,0.0,0.0,19548370.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.768485081497661
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,263573.0,285263.0,275616.0,311094.0,317340.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0
,otherExpenses,33126.0,23900.0,25725.0,25548.0,24710.0000000004
,operatingExpenses,296699.0,309163.0,301341.0,336642.0,342050.0
,costAndExpenses,0.0,0.0,0.0,0.0,6231220.0
,interestExpense,1840854.0,4013117.0,4797406.0,3862101.0,-19939310.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0
,EBITDA,59183259.0,-8765777.0,24717799.0,12749906.0,-20672300.0
,EBITDARatio,1.02679005905435,-0.702964402359602,1.22233825249605,1.38218648771032,-0.812668992363255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,19206320.0
,operatingIncomeRatio,0.0,0.0,0.0,0.0,0.755038419595606
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,-19939310.0
,incomeBeforeTax,57342405.0,-12778894.0,19920393.0,8887805.0,-732990.0
,incomeBeforeTaxRatio,0.994852470295166,-1.02479307693165,0.985098162205081,0.963505454581722,-0.0288152863838248
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0
,netIncome,57342405.0,-12778894.0,19920393.0,8887805.0,-732990.0
,netIncomeRatio,0.994852470295166,-1.02479307693165,0.985098162205081,0.963505454581722,-0.0288152863838248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,2.69,-0.59,0.94,0.42,-0.03459
,EPSDiluted,2.69,-0.59,0.94,0.42,-0.03459
,weightedAverageShsOut,21316879.0,21659142.0,21191907.0,21161440.0,21193420.0
,weightedAverageShsOutDil,21316879.0,21659142.0,21191907.0,21161440.0,21193420.0
