Date,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30
Cash and cash equivalents,176700000.0,347100000.0,361700000.0,195000000.0,113100000.0,161100000.0,123600000.0,83000000.0,61200000.0,83700000.0,61500000.0
Short-term investments,0.0,0.0,0.0,0.0,28300000.0,38600000.0,26700000.0,19600000.0,28700000.0,0.0,0.0
Cash and short-term investments,176700000.0,347100000.0,361700000.0,195000000.0,113100000.0,161100000.0,123600000.0,83000000.0,61200000.0,83700000.0,61500000.0
Receivables,172800000.0,164300000.0,145300000.0,186700000.0,175300000.0,182100000.0,164500000.0,166100000.0,220800000.0,202500000.0,216300000.0
Inventories,191400000.0,156600000.0,138900000.0,213800000.0,219100000.0,198000000.0,208500000.0,183200000.0,237700000.0,268400000.0,342800000.0
Total current assets,566900000.0,685500000.0,670300000.0,612300000.0,549500000.0,623900000.0,569400000.0,489900000.0,598800000.0,636400000.0,993400000.0
Property Plant & Equipment Net,217100000.0,150900000.0,122300000.0,155100000.0,148900000.0,146300000.0,141900000.0,144700000.0,243800000.0,264400000.0,296400000.0
Goodwill and Intangible Assets,529400000.0,420200000.0,439300000.0,486000000.0,507300000.0,533600000.0,553100000.0,573700000.0,610900000.0,632400000.0,663600000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,31300000.0,31400000.0,44400000.0,0.0,28300000.0,38600000.0,26700000.0,19600000.0,28700000.0,30300000.0,30800000.0
Total non-current assets,770400000.0,606400000.0,588000000.0,668300000.0,680300000.0,693200000.0,712500000.0,751000000.0,886200000.0,931800000.0,1082400000.0
Total assets,1337300000.0,1291900000.0,1258300000.0,1280600000.0,1229800000.0,1317100000.0,1281900000.0,1240900000.0,1485000000.0,1568200000.0,1739500000.0
Payables,84600000.0,90000000.0,82500000.0,100800000.0,98700000.0,116000000.0,101200000.0,84500000.0,107600000.0,93200000.0,111700000.0
Short-term debt,900000.0,700000.0,5600000.0,5900000.0,6100000.0,46200000.0,1300000.0,1100000.0,900000.0,700000.0,11700000.0
Total current liabilities,178500000.0,167100000.0,141600000.0,185800000.0,168000000.0,244400000.0,183100000.0,168400000.0,194800000.0,183700000.0,220800000.0
Long-term debt,445400000.0,444300000.0,475000000.0,479200000.0,482900000.0,499400000.0,599500000.0,621700000.0,677400000.0,691500000.0,728500000.0
Total debt,446300000.0,445000000.0,480600000.0,485100000.0,489000000.0,545600000.0,600800000.0,622800000.0,678300000.0,692200000.0,740200000.0
Deferred revenue,4700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,600000.0,7600000.0,900000.0,4600000.0,800000.0,700000.0,1300000.0,1100000.0,1900000.0,165500000.0,180000000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,566500000.0,560000000.0,627200000.0,675300000.0,694000000.0,721100000.0,770600000.0,841300000.0,911200000.0,979200000.0,1082400000.0
Total liabilities,747200000.0,728600000.0,769900000.0,862300000.0,863500000.0,967100000.0,953700000.0,1009700000.0,1106000000.0,1162900000.0,1303200000.0
Other comprehensive income,1410700000,1444500000,1494200000,1563900000,1574800000,1582800000,1584400000,1587300000,1593200000,-70200000.0,-85900000.0
Retained earnings (deficit),-786200000.0,-850000000.0,-955600000.0,-1078900000.0,-1142800000.0,-1173700000.0,-1229200000.0,-1270000000.0,-1161600000.0,-1123500000.0,-1078300000.0
Total shareholders equity,590100000.0,563300000.0,488400000.0,418300000.0,366300000.0,350000000.0,328200000.0,231200000.0,379000000.0,405300000.0,436300000.0
Investments,0.0,0.0,0.0,0.0,28300000.0,38600000.0,26700000.0,19600000.0,28700000.0,0.0,0.0
Net Debt,269600000.0,97900000.0,118900000.0,290100000.0,375900000.0,384500000.0,477200000.0,539800000.0,617100000.0,608500000.0,678700000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81800000.0,125500000.0
Other Liabilities,2200000.0,1500000.0,1100000.0,1200000.0,1500000.0,1600000.0,0.0,0.0,0.0,89800000.0,97400000.0
