Date,2018-12-31,2017-12-31,2016-12-31
Depreciation & Amortization,2400000.0,2447000.0,2423000.0
Stock-based compensation,1857000.0,1298000.0,1022000.0
Operating Cash Flow,17800000.0,-5430000.0,19107000.0
Capital Expenditure,714000.0,-499000.0,-1824000.0
Acquisitions and disposals,-0.0,-1000000.0,0.0
Investment purchases and sales,12859000.0,-100553000.0,-91153000.0
Investing Cash flow,-63071000.0,-102052000.0,-96040000.0
Issuance (repayment) of debt,-6875000.0,-10888000.0,16325000.0
Issuance (buybacks) of shares,34269000.0,5261000.0,2534000.0
Dividend payments,-1378000.0,0.0,0.0
Financing Cash Flow,109126000.0,54299000.0,59982000.0
Effect of forex changes on cash,0.0,0.0,0.0
Net cash flow / Change in cash,73357000.0,-53183000.0,-16951000.0
Free Cash Flow,17086000.0,-5929000.0,17283000.0
Net Cash/Marketcap,0.0,-0.2549,-0.2549
