Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,17837000.0,27651000.0,25567000.0,27271000.0
Stock-based compensation,10930000.0,6108000.0,1354000.0,1313000.0
Operating Cash Flow,14026000.0,16114000.0,10684000.0,4369000.0
Capital Expenditure,-15410000.0,-5066000.0,-840000.0,-466000.0
Acquisitions and disposals,0.0,-81155000.0,0.0,0.0
Investment purchases and sales,0.0,1000000.0,-1000000.0,-755000.0
Investing Cash flow,-15410000.0,-85221000.0,-1840000.0,-1221000.0
Issuance (repayment) of debt,-3747000.0,-65906000.0,0.0,-52765000.0
Issuance (buybacks) of shares,1079000.0,151365000.0,-73000.0,39999000.0
Dividend payments,0.0,0.0,0.0,0.0
Financing Cash Flow,-5130000.0,84033000.0,-315000.0,-12766000.0
Effect of forex changes on cash,-2164000.0,608000.0,201000.0,-1008000.0
Net cash flow / Change in cash,-8678000.0,15534000.0,8730000.0,-10626000.0
Free Cash Flow,-1384000.0,11048000.0,9844000.0,3903000.0
Net Cash/Marketcap,-0.0024,0.0097,0.07,0.07
