Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Revenue,65786817.0,60064824.0,54286859.0,40235362.0,21236704.0,18749470.0,1384852.0,183179.0
Revenue Growth,0.0953,0.1064,0.3492,0.8946,0.1327,12.539,6.5601,
Cost of Revenue,55617171.0,51237212.0,45708241.0,33977215.0,15925924.0,13374669.0,832909.0,596389.0
Gross Profit,10169646.0,8827612.0,8578618.0,6258147.0,5310780.0,5374801.0,551943.0,-413210.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,9758688.0,10629773.0,8797883.0,9310477.0,11353244.0,28166387.0,12088602.0,24330623.0
Operating Expenses,14500767.0,17425030.0,17416066.0,16739145.0,12800791.0,42641427.0,12352262.0,24642562.0
Operating Income,-4331121.0,-8597418.0,-8837448.0,-10480998.0,-7490011.0,-37266626.0,-11800319.0,-25055772.0
Interest Expense,847179.0,1189622.0,1463833.0,3575698.0,3705694.0,2979102.0,-370568.0,171319.0
Earnings before Tax,-4936182.0,-9913485.0,-13487537.0,-13253612.0,-10185516.0,-48096063.0,-16234248.0,-24853100.0
Income Tax Expense,0.0,0.0,0.0,0.0,0.0,213284.0,155683.0,0.0
Net Income - Non-Controlling int,0.0,0.0,-128539.0,-74314.0,-29250.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,1018003.0,3299825.0,0.0
Net Income,-4936182.0,-9913485.0,-13487537.0,-13253612.0,-10185516.0,-48309347.0,-16389931.0,-24853100.0
Preferred Dividends,0.0,0.0,0.0,1585092.0,0.0,0.0,0.0,0.0
Net Income Com,-4936182.0,-9913485.0,-13487537.0,-14838704.0,-10185516.0,-48309347.0,-16389931.0,-24853100.0
EPS,-1.28,-5.04,-10.33,-23.22,-27.3,-165.0,-77.0,-137.0
EPS Diluted,-1.28,-5.04,-10.33,-23.22,-27.3,-165.0,-77.0,-137.0
Weighted Average Shs Out,3863019.0,2454457.0,1529223.0,800011.0,456221.0,282148.0,283383.0,287500.0
Weighted Average Shs Out (Dil),3868324.0,1967676.0,1305801.0,639112.0,372551.0,284702.0,213608.0,180753.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.1546,0.147,0.158,0.1555,0.2501,0.2867,0.3986,-2.2558
EBITDA Margin,-0.025,-0.103,-0.158,-0.178,-0.194,-2.287,-11.798,-133.038
EBIT Margin,-0.0622,-0.1452,-0.2215,-0.2405,-0.3051,-2.4063,-11.9903,-134.7413
Profit Margin,-0.075,-0.165,-0.248,-0.369,-0.48,-2.577,-11.835,-135.677
Free Cash Flow margin,-0.0514,-0.0861,-0.0638,-0.0564,0.0708,-0.573,-18.5104,-31.9802
EBITDA,-1634366.0,-6189878.0,-8557194.0,-7164752.0,-4121686.0,-42874457.0,-16338810.0,-24369842.0
EBIT,-4089003.0,-8723863.0,-12023704.0,-9677914.0,-6479822.0,-45116961.0,-16604816.0,-24681781.0
Consolidated Income,-4936182.0,-9913485.0,-13616076.0,-13327926.0,-10214766.0,-48309347.0,-16389931.0,-24853100.0
Earnings Before Tax Margin,-0.075,-0.165,-0.2484,-0.3294,-0.4796,-2.5652,-11.7227,-135.6766
Net Profit Margin,-0.075,-0.165,-0.2484,-0.3294,-0.4796,-2.5766,-11.8351,-135.6766
