date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,revenue,141280000.0,126593000.0,119369000.0,120535000.0,113376000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,50445000.0,45813000.0,40878000.0,43886000.0,47328000.0
,SellingAndMarketingExpenses,2088000.0,3442000.0,2726000.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,127000000.0,106000000.0,93000000.0,95000000.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0
,interestExpense,38337000.0,53358000.0,36050000.0,23976000.0,21668000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,8693000.0,8903000.0,3346000.0,3615000.0,4038000.0
,EBITDA,97055000.0,115283000.0,89107000.0,79337000.0,65501000.0
,EBITDARatio,0.686969139297848,0.910658567219357,0.746483592892627,0.658207159746132,0.577732500705617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,50025000.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.354084088335221,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,50025000.0,53022000.0,49711000.0,51746000.0,39795000.0
,incomeBeforeTaxRatio,0.354084088335221,0.418838324393924,0.41644815655656,0.429302692164102,0.351000211685013
,incomeTaxExpense,13037000.0,12787000.0,9632000.0,26978000.0,13665000.0
,netIncome,36988000.0,40235000.0,40079000.0,24768000.0,26130000.0
,netIncomeRatio,0.261806342015855,0.317829579834588,0.335757189890173,0.205483884348944,0.230472057578323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.790621604968698,0.86,0.87,0.55,0.59
,EPSDiluted,0.790621604968698,0.85,0.85,0.53,0.57
,weightedAverageShsOut,50514632.0,46783442.0,46319760.0,45325445.0,44374389.0
,weightedAverageShsOutDil,50534643.0,47163804.0,47107433.0,46875730.0,45717887.0
