Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,199970000.0,193888000.0,257380000.0,390000000.0
Short-term investments,0.0,16711000.0,73859000.0,84000000.0
Cash and short-term investments,199970000.0,210599000.0,331239000.0,474000000.0
Receivables,0.0,106715000.0,153806000.0,178000000.0
Inventories,0.0,3163000.0,8295000.0,24000000.0
Total current assets,522565000.0,584494000.0,773485000.0,728000000.0
Property, Plant & Equipment Net,0.0,117262000.0,129475000.0,555000000.0
Goodwill and Intangible Assets,0.0,191757000.0,243681000.0,0.0
Long-term investments,0.0,0.0,0.0,108148000.0
Tax assets,0.0,0.0,0.0,
Total non-current assets,537265000.0,529028000.0,645024000.0,
Total assets,1059830000.0,1113522000.0,1418509000.0,2730000000.0
Payables,12772000.0,42284000.0,69186000.0,44000000.0
Short-term debt,0.0,7990000.0,540474000.0,582420000.0
Total current liabilities,359487000.0,358403000.0,893173000.0,899000000.0
Long-term debt,72264000.0,647717000.0,215842000.0,83000000.0
Total debt,72264000.0,655707000.0,756316000.0,
Deferred revenue,0.0,0.0,11614000.0,
Tax Liabilities,0.0,0.0,0.0,
Deposit Liabilities,0.0,0.0,0.0,
Total non-current liabilities,881912000.0,866307000.0,359314000.0,
Total liabilities,1241399000.0,1224710000.0,1252487000.0,1179000000.0
Other comprehensive income,-8435000.0,-47239000.0,-75934000.0,
Retained earnings (deficit),-2236883000.0,-2127903000.0,-1834756000.0,-274000000.0
Total shareholders equity,-101977000.0,-35743000.0,166022000.0,1551000000.0
Investments,0.0,16711000.0,73859000.0,15787000.0
Net Debt,-127706000.0,445108000.0,425077000.0,191103000.0
Other Assets,322595000.0,264017000.0,280145000.0,52022000.0
Other Liabilities,346715000.0,308129000.0,283513000.0,272580000.0
