Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,58856000.0,340678000.0,273064000.0,75816000.0
Short-term investments,255203000.0,0.0,0.0,0.0
Cash and short-term investments,314059000.0,340678000.0,273064000.0,75816000.0
Receivables,7547000.0,10471000.0,6454000.0,1000000.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,324977000.0,354830000.0,281306000.0,77626000.0
Property Plant & Equipment Net,17061000.0,15272000.0,10628000.0,2708000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0
Long-term investments,255203000.0,0.0,0.0,0.0
Tax assets,1240000.0,1929000.0,1028000.0,0.0
Total non-current assets,22338000.0,21405000.0,17663000.0,4513000.0
Total assets,347315000.0,376235000.0,298969000.0,82139000.0
Payables,2708000.0,2172000.0,4652000.0,1360000.0
Short-term debt,28810000.0,0.0,0.0,0.0
Total current liabilities,40572000.0,31359000.0,30730000.0,10695000.0
Long-term debt,0.0,0.0,0.0,0.0
Total debt,28810000.0,0.0,0.0,0.0
Deferred revenue,27122000.0,21188000.0,20178000.0,10312000.0
Tax Liabilities,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,57633000.0,46208000.0,59430000.0,92645000.0
Total liabilities,69395000.0,75638000.0,89132000.0,103340000.0
Other comprehensive income,478968000,421706000,263403000,0.0
Retained earnings (deficit),-201025000.0,-121113000.0,-53570000.0,-21936000.0
Total shareholders equity,277920000.0,300597000.0,209837000.0,-21201000.0
Investments,510406000.0,0.0,0.0,0.0
Net Debt,-30046000.0,-340678000.0,-273064000.0,-75816000.0
Other Assets,0.0,0.0,0.0,810000.0
Other Liabilities,-28810000.0,-1929000.0,-1028000.0,9335000.0
