Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Revenue,0.0,0.0,0.0,0.0,0.0,0.0
Revenue Growth,0.0,0.0,0.0,0.0,0.0,
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0,0.0,0.0,0.0
R&D Expenses,4885563.0,4763454.0,6632904.0,4203858.0,3466349.0,1367644.0
SG&A Expense,6263833.0,7938543.0,6299734.0,5241899.0,5800771.0,6223138.0
Operating Expenses,11149396.0,12701997.0,12932638.0,9445757.0,9267120.0,7590782.0
Operating Income,-11149396.0,-12701997.0,-12932638.0,-9445757.0,-9267120.0,-7590782.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,-11022286.0,-12615070.0,-12924202.0,-9441535.0,-9253323.0,-7589404.0
Income Tax Expense,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-11022286.0,-12615070.0,-12924202.0,-9441535.0,-9253323.0,-7589404.0
Preferred Dividends,0.0,0.0,0.0,279824.0,1664219.0,1023616.0
Net Income Com,-11022286.0,-12615070.0,-12924202.0,-9721359.0,-10917542.0,-8613020.0
EPS,-1.37,-1.64,-5.69,-11.64,-15.68,-12.8
EPS Diluted,-1.37,-1.64,-5.69,-11.64,-15.68,-12.8
Weighted Average Shs Out,7909693.0,7895859.0,1559215.0,905517.0,691621.0,679375.0
Weighted Average Shs Out (Dil),8050700.0,7709400.0,2272000.0,835200.0,690844.0,678200.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA Margin,,,,,,
EBIT Margin,0.0,0.0,0.0,0.0,0.0,0.0
Profit Margin,,,,,,
Free Cash Flow margin,0.0,0.0,0.0,0.0,0.0,0.0
EBITDA,-11019287.0,-12611216.0,-12917279.0,-9435265.0,-9251998.0,-7589404.0
EBIT,-11022286.0,-12615070.0,-12924202.0,-9441535.0,-9253323.0,-7589404.0
Consolidated Income,-11022286.0,-12615070.0,-12924202.0,-9441535.0,-9253323.0,-7589404.0
Earnings Before Tax Margin,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit Margin,0.0,0.0,0.0,0.0,0.0,0.0
