Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,890408.0,5722716.0,2587743.0,920227.0,1244308.0,2323338.0,3150492.0,2505179.0,985004.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,890408.0,5722716.0,2587743.0,920227.0,1244308.0,2323338.0,3150492.0,2505179.0,985004.0
Receivables,78082282.0,62587122.0,64022513.0,50620400.0,51075822.0,31502931.0,25493101.0,19556019.0,6813052.0
Inventories,6371112.0,6374560.0,2781123.0,2514319.0,3612868.0,3353634.0,3240721.0,1848081.0,1017704.0
Total current assets,85449614.0,74917333.0,70049163.0,65833045.0,56693072.0,38110859.0,32221450.0,24180106.0,9057391.0
Property, Plant & Equipment Net,147096.0,157246.0,171276.0,200077.0,15756769.0,14171283.0,13925170.0,9447482.0,8268435.0
Goodwill and Intangible Assets,4014510.0,4421214.0,5905229.0,6466087.0,6712332.0,8004115.0,1434698.0,943071.0,471812.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,436449.0,318961.0,889652.0,69494.0,118866.0,326670.0,157423.0,275118.0,115237.0
Total non-current assets,4641315.0,4940681.0,6994524.0,23914962.0,23962261.0,22455847.0,18531899.0,10637384.0,8740247.0
Total assets,90090929.0,79858014.0,77043687.0,89748007.0,80655333.0,60566706.0,50753349.0,34817490.0,17797638.0
Payables,4145927.0,1634554.0,2368775.0,5708259.0,10539562.0,6969406.0,7179436.0,6817007.0,1401579.0
Short-term debt,6248162.0,0.0,7977841.0,1848000.0,7592879.0,820089.0,6529178.0,0.0,0.0
Total current liabilities,11832901.0,2680443.0,11641456.0,17205171.0,22168109.0,9216577.0,15677897.0,7882191.0,2646632.0
Long-term debt,0.0,4202118.0,0.0,5659357.0,0.0,6602258.0,0.0,0.0,0.0
Total debt,6248162.0,4202118.0,7977841.0,7507357.0,7592879.0,7422347.0,6529178.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,3936526.0,4706156.0,2136788.0,2160449.0,6669508.0,5944424.0,4926121.0,4215250.0,2567854.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,3351652.0,8729967.0,2136788.0,12551154.0,6705015.0,12620834.0,4709864.0,4075215.0,2413238.0
Total liabilities,15184553.0,11410410.0,13778244.0,29756325.0,28873124.0,21837411.0,20387761.0,11957406.0,5059870.0
Other comprehensive income,0.0,0.0,0.0,1570534.0,2575167.0,2603010.0,2176646.0,2138974.0,1611756.0
Retained earnings (deficit),35030419.0,29730794.0,26346431.0,26628670.0,24428428.0,15873780.0,11006319.0,5572436.0,207271.0
Total shareholders equity,74906376.0,68447604.0,63265443.0,59991682.0,51782209.0,38729295.0,30365588.0,22860084.0,12737768.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,5357754.0,-1520598.0,5390098.0,6587130.0,6348571.0,5099009.0,3378686.0,-2505179.0,-985004.0
Other Assets,105812.0,232935.0,657784.0,11778099.0,760074.0,930956.0,337136.0,270827.0,241631.0
Other Liabilities,1438812.0,1045889.0,1294840.0,9648912.0,4035668.0,1427082.0,1969283.0,1065184.0,1245053.0
