date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY
,revenue,523993000.0,459873000.0,430343000.0,441265000.0,392695000.0,332089000.0,319606000.0,318723000.0,321743000.0,326342000.0,319580000.0,282748000.0,258118000.0,228038000.0,223490000.0,0.0,215781000.0,191474000.0,164716000.0,145818000.0,127162000.0,118896000.0,97600000.0,88500000.0,78800000.0,70600000.0,67300000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,252195000.0,222917000.0,210535000.0,212023000.0,197519000.0,171291000.0,162552000.0,157792000.0,155505000.0,149878000.0,149680000.0,138162000.0,95013000.0,84217000.0,78611000.0,0.0,70823000.0,62982000.0,54445000.0,48176000.0,43569000.0,38028000.0,35000000.0,28300000.0,26000000.0,21800000.0,22300000.0
,SellingAndMarketingExpenses,7695000.0,6998000.0,8434000.0,9607000.0,8852000.0,8499000.0,8213000.0,6284000.0,7829000.0,9953000.0,9875000.0,9152000.0,5500000.0,3742000.0,2818000.0,0.0,3674000.0,3504000.0,3483000.0,0.0,1631000.0,2048000.0,1800000.0,1300000.0,1600000.0,1200000.0,1000000.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937000.0,1541000.0,754000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,453000000.0,372000000.0,333000000.0,329000000.0,347000000.0,290000000.0,292000000.0,287000000.0,307000000.0,327000000.0,349000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,interestExpense,42340000.0,56914000.0,37140000.0,28071000.0,38299000.0,56327000.0,56587000.0,61162000.0,75199000.0,92801000.0,112927000.0,135806000.0,169293000.0,211015000.0,191109000.0,0.0,138047000.0,124925000.0,137638000.0,147255000.0,157322000.0,132099000.0,115000000.0,95200000.0,81400000.0,68600000.0,58100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,6856000.0,6543000.0,5848000.0,6764000.0,4259000.0,1688000.0,1323000.0,1210000.0,1012000.0,1819000.0,2784000.0,3020000.0,4387000.0,10176000.0,9494000.0,0.0,12003000.0,14076000.0,10217000.0,13198000.0,12820000.0,9833000.0,6000000.0,4100000.0,800000.0,-100000.0,200000.0
,EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,EBITDARatio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.176578694753556,0.306847760142474,0.311177363173097,0.308003127372441,0.181604043850826,0.266494825182406,0.262063290426337,0.292009048609608,0.27950258436081,0.278873084065183,0.253598472995807,0.140241487119272,0.252361323115784,0.291850481060174,0.319155219472907,0.0,0.364146982357112,0.368880370180808,0.353808980305496,0.324973597223937,0.310438653056731,0.345789597631544,0.316598360655738,0.387570621468927,0.281725888324873,0.400849858356941,0.393759286775631
,totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTax,92526000.0,141111000.0,133913000.0,135911000.0,71315000.0,88500000.0,83757000.0,93070000.0,89928000.0,91008000.0,81045000.0,39653000.0,65139000.0,66553000.0,71328000.0,0.0,78576000.0,70631000.0,58278000.0,47387000.0,39476000.0,41113000.0,30900000.0,34300000.0,22200000.0,28300000.0,26500000.0
,incomeBeforeTaxRatio,0.176578694753556,0.306847760142474,0.311177363173097,0.308003127372441,0.181604043850826,0.266494825182406,0.262063290426337,0.292009048609608,0.27950258436081,0.278873084065183,0.253598472995807,0.140241487119272,0.252361323115784,0.291850481060174,0.319155219472907,0.0,0.364146982357112,0.368880370180808,0.353808980305496,0.324973597223937,0.310438653056731,0.345789597631544,0.316598360655738,0.387570621468927,0.281725888324873,0.400849858356941,0.393759286775631
,incomeTaxExpense,17672000.0,30679000.0,28422000.0,41444000.0,21648000.0,27960000.0,21795000.0,26331000.0,26368000.0,26857000.0,23522000.0,7000000.0,16968000.0,17456000.0,19792000.0,0.0,22772000.0,20103000.0,16587000.0,13742000.0,12699000.0,13910000.0,10900000.0,13000000.0,8500000.0,10800000.0,10200000.0
,netIncome,74854000.0,110432000.0,105491000.0,94467000.0,49667000.0,60540000.0,61962000.0,66739000.0,63560000.0,64151000.0,57523000.0,32653000.0,48171000.0,49097000.0,51536000.0,0.0,55804000.0,50528000.0,41691000.0,35882000.0,26777000.0,27203000.0,20000000.0,21300000.0,13700000.0,17500000.0,16300000.0
,netIncomeRatio,0.142853053380484,0.240135863597124,0.245132371155102,0.21408224083034,0.126477291536689,0.182300527870541,0.193869952378866,0.209394991889509,0.197548975424485,0.196575984703164,0.179995619250266,0.115484459660192,0.186623947186945,0.215301835658969,0.230596447268334,0.0,0.258614057771537,0.263889614255721,0.253108380485199,0.246073872910066,0.210573913590538,0.22879659534383,0.204918032786885,0.240677966101695,0.173857868020305,0.247875354107649,0.242199108469539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,0.713719250760883,1.05,1.03,0.94,0.5,0.641895481093983,0.68,0.74,0.676797899617987,0.642784107374114,0.531101645873133,0.3,0.444444,0.444444,0.457778,0.0,0.497778,0.466667,0.391111,0.337778,0.253333,0.257778,0.186667,0.204444,0.133333,0.168889,0.102222
,EPSDiluted,0.713719250760883,1.04,1.02,0.92,0.49,0.638406988335701,0.67,0.73,0.674709889343651,0.640372928213747,0.528066399087198,0.3,0.44,0.44,0.457778,0.0,0.493333,0.462222,0.386667,0.333333,0.248889,0.253333,0.186667,0.2,0.133333,0.168889,0.102222
,weightedAverageShsOut,104878774.0,104878774.0,102073888.0,101015083.0,99439174.0,94314420.0,91535298.0,90626324.0,93912821.0,99801783.0,108308834.0,109078129.0,108815647.0,110468250.0,112578641.0,112106250.0,112106250.0,108274286.0,106596307.0,106229605.0,105698684.0,105528879.0,107142857.0,104184783.0,102750000.0,103618421.0,103950000.0
,weightedAverageShsOutDil,104878774.0,105839149.0,103565901.0,102564905.0,100664688.0,94829789.0,92274997.0,91470819.0,94203451.0,100177564.0,108931377.0,109459875.0,109346454.0,111584091.0,112578641.0,112106250.0,113116216.0,109315385.0,107821552.0,107646000.0,107586161.0,107380263.0,107142857.0,106500000.0,102750000.0,103618421.0,103950000.0
