Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,100077853.0,68959585.0,59610923.0,52122507.0,44833150.0,47426577.0,35347608.0,27794614.0,13836070.0,12435769.0
Revenue Growth,0.4513,0.1568,0.1437,0.1626,-0.0547,0.3417,0.2717,1.0089,0.1126,0.2357
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,100077853.0,68959585.0,59610923.0,52122507.0,44833150.0,47426577.0,35347608.0,27794614.0,13836070.0,12435769.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,50447833.0,39081196.0,37361149.0,32882837.0,33550531.0,30443622.0,22515493.0,19386352.0,10835136.0,9256881.0
Operating Expenses,62638301.0,44856636.0,39721109.0,36225966.0,35744210.0,36222223.0,25272527.0,20884343.0,11409505.0,9256881.0
Operating Income,37439552.0,24102949.0,19889814.0,15896541.0,9088940.0,11204354.0,10075081.0,6910271.0,2426565.0,3178888.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,37386615.0,24116538.0,19967695.0,15850976.0,9824404.0,11440912.0,10250910.0,7306595.0,2499414.0,3091672.0
Income Tax Expense,10168923.0,8152724.0,6812598.0,5382390.0,2694104.0,3602083.0,2720446.0,1926624.0,996750.0,1055522.0
Net Income - Non-Controlling int,0.0,0.0,62.0,-4152.0,-37589.0,-91624.0,-65125.0,-148319.0,-72849.0,87216.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,27217692.0,15963814.0,13155097.0,10468586.0,7130300.0,7838829.0,7530464.0,5379971.0,1502664.0,2036150.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485993.0
Net Income Com,27217692.0,15963814.0,13155097.0,10468586.0,7130300.0,7838829.0,7530464.0,5379971.0,1502664.0,1550157.0
EPS,1.73,1.38,1.21,0.98,0.66,0.87,1.1,0.86,0.39,0.4
EPS Diluted,1.71,1.35,1.2,0.97,0.65,0.86,1.09,0.86,0.38,0.4
Weighted Average Shs Out,16989883.0,12467518.0,10859074.0,10534420.0,10791370.0,10766212.0,6830832.0,6809594.0,3886305.0,3862364.0
Weighted Average Shs Out (Dil),16989883.0,12467518.0,10859074.0,10534420.0,10791370.0,10766212.0,6830832.0,6809594.0,3886305.0,3862364.0
Dividend per Share,0.38,0.32,0.24,0.21,0.18,0.16,0.16,0.13,0.12,0.12
Gross Margin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EBITDA Margin,0.427,0.4,0.392,0.364,0.289,0.298,0.351,0.323,0.239,0.305
EBIT Margin,0.3736,0.3497,0.335,0.3041,0.2191,0.2412,0.29,0.2629,0.1806,0.2486
Profit Margin,0.272,0.231,0.221,0.201,0.159,0.165,0.213,0.194,0.109,0.125
Free Cash Flow margin,0.2245,0.3118,0.2891,0.2229,0.1991,0.294,0.2404,0.3091,0.2124,-0.5039
EBITDA,42713492.0,27561478.0,23380616.0,18975414.0,12955488.0,14130265.0,12408456.0,8988887.0,3307147.0,3791017.0
EBIT,37386615.0,24116538.0,19967695.0,15850976.0,9824404.0,11440912.0,10250910.0,7306595.0,2499414.0,3091672.0
Consolidated Income,27217692.0,15963814.0,13155159.0,10464434.0,7092711.0,7747205.0,7465339.0,5231652.0,1429815.0,2123366.0
Earnings Before Tax Margin,0.3736,0.3497,0.335,0.3041,0.2191,0.2412,0.29,0.2629,0.1806,0.2486
Net Profit Margin,0.272,0.2315,0.2207,0.2008,0.159,0.1653,0.213,0.1936,0.1086,0.1637
