date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,revenue,81903000.0,84736000.0,79126000.0,75916000.0,70588000.0
,costOfRevenue,13634000.0,14074000.0,11596000.0,11044000.0,9239000.0
,grossProfit,68269000.0,70662000.0,67530000.0,64872000.0,61349000.0
,grossProfitRatio,0.833534791155391,0.833907666163142,0.853448929555393,0.854523420622794,0.869113730379101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,13671000.0,12442000.0,11937000.0,11279000.0,10693000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,36945000.0,34816000.0,36462000.0,32753000.0,29060000.0
,costAndExpenses,50579000.0,48890000.0,48058000.0,43797000.0,38299000.0
,interestExpense,19317000.0,19831000.0,17862000.0,17810000.0,17258000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,22964000.0,22026000.0,24155000.0,20993000.0,18164000.0
,EBITDA,54288000.0,57872000.0,55223000.0,53112000.0,50453000.0
,EBITDARatio,0.662832863265082,0.682968277945619,0.697912190683214,0.699615364350071,0.714753215844053
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,31324000.0,35846000.0,31068000.0,32119000.0,32289000.0
,operatingIncomeRatio,0.382452413220517,0.423031533232628,0.392639587493365,0.423086042467991,0.457429024763416
,totalOtherIncomeExpensesNet,3911000.0,17302000.0,9504000.0,7870000.0,7808000.0
,incomeBeforeTax,27413000.0,18544000.0,21564000.0,24249000.0,24481000.0
,incomeBeforeTaxRatio,0.334700804610332,0.218844410876133,0.272527361423552,0.319418831339902,0.346815322717742
,incomeTaxExpense,0.0,0.0,0.0,0.0,0.0
,netIncome,27407000.0,18011000.0,20665000.0,24147000.0,24422000.0
,netIncomeRatio,0.334627547220493,0.212554286253776,0.261165735662109,0.318075241055904,0.345979486598289
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,1.43567312729178,0.943478,1.112517,1.300743,1.405745
,EPSDiluted,1.43567312729178,0.88,1.05,1.28,1.39
,weightedAverageShsOut,19571000.0,19090000.0,18575000.0,18564000.0,17373000.0
,weightedAverageShsOutDil,19599000.0,19119000.0,18588000.0,18667000.0,17487000.0
