date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,945400000.0,1339100000.0,1326400000.0,1088400000.0,1148600000.0,1093900000.0,1104000000.0,991100000.0,998300000.0,952600000.0,827700000.0,793000000.0,1000300000.0,975700000.0,864000000.0,790700000.0,723500000.0,675883000.0,643459000.0,503142000.0,498795000.0,362900000.0,285100000.0,222400000.0,176300000.0,140000000.0,80100000.0
,depreciationAndAmortization,222600000.0,231500000.0,264000000.0,282100000.0,292900000.0,291100000.0,294400000.0,284800000.0,282700000.0,273700000.0,253000000.0,242800000.0,295200000.0,277300000.0,261100000.0,262200000.0,289300000.0,221191000.0,204806000.0,258044000.0,225670000.0,195700000.0,154400000.0,120100000.0,99700000.0,84800000.0,72300000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100200000.0,0.0,0.0,0.0,0.0,18382000.0,-33100000.0,21400000.0,15600000.0,-4100000.0,2400000.0,-6400000.0
,stockBasedCompensation,70800000.0,72500000.0,70500000.0,80200000.0,93400000.0,99400000.0,93500000.0,86300000.0,80800000.0,74500000.0,69300000.0,78600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,1461200000.0,147100000.0,-550400000.0,296000000.0,950200000.0,-1368500000.0,-245200000.0,-411000000.0,1035100000.0,-420500000.0,465000000.0,-104700000.0,-466300000.0,-73700000.0,83600000.0,-84100000.0,-172287000.0,725945000.0,207505000.0,-151794000.0,38631000.0,-481700000.0,-224500000.0,-152500000.0,-41700000.0,-11700000.0,178500000.0
,accountsReceivables,141200000.0,-156600000.0,88300000.0,-341600000.0,-376500000.0,-1063600000.0,-227100000.0,244800000.0,-218700000.0,-471400000.0,-292400000.0,410900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,293000000.0,-99800000.0,-269300000.0,5400000.0,-89700000.0,-74700000.0,-24200000.0,-354500000.0,4800000.0,-53200000.0,-209700000.0,113900000.0,59200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20500000.0,-22400000.0,2400000.0
,accountsPayables,-428600000.0,276300000.0,242900000.0,763200000.0,741900000.0,1443700000.0,161800000.0,143500000.0,127800000.0,262700000.0,455900000.0,-10200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,65000000.0,-1396200000.0,-1543300000.0,-992900000.0,-1288900000.0,-2239100000.0,-870600000.0,-625400000.0,-214400000.0,-1249500000.0,-829000000.0,-1294000000.0,-1189300000.0,-723000000.0,-649300000.0,-732900000.0,-648800000.0,-476513000.0,-1202458000.0,-1409963000.0,-1258169000.0,-1296800000.0,-815100000.0,-590600000.0,-438100000.0,-396400000.0,-384700000.0
,otherNonCashItems,387600000.0,5800000.0,58100000.0,133800000.0,11800000.0,57200000.0,-8700000.0,2100000.0,-2100000.0,0.0,0.0,0.0,632300000.0,4000000.0,-15900000.0,0.0,0.0,0.0,0.0,0.0,-29649000.0,13500000.0,-71900000.0,-27000000.0,0.0,-13300000.0,-21200000.0
,netCashProvidedByOperatingActivites,1724600000.0,1856000000.0,1722300000.0,2023900000.0,1931200000.0,2172300000.0,1476500000.0,1809000000.0,1451300000.0,1315300000.0,1488000000.0,1731600000.0,1394200000.0,1599300000.0,1741200000.0,991200000.0,1287600000.0,1054242000.0,1000601000.0,775560000.0,685879000.0,901000000.0,471400000.0,533800000.0,494000000.0,226600000.0,339200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-212000000.0,-226300000.0,-185500000.0,-153700000.0,-130600000.0,-212200000.0,-223000000.0,-177600000.0,-162700000.0,-159700000.0,-141108000.0,-117198000.0,-149423000.0,-150289000.0,-821300000.0,-654200000.0,-76200000.0,-48800000.0,-49600000.0,-38500000.0
,acquisitionsNet,-64000000.0,69000000.0,-42000000.0,-26000000.0,-309000000.0,-60000000.0,-75000000.0,-33000000.0,-133000000.0,-404000000.0,-152000000.0,-137000000.0,-362000000.0,-319000000.0,-205000000.0,-265000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-7300000.0,0.0,0.0,0.0,0.0,-14200000.0,-5600000.0,-3200000.0,-13100000.0,-42000000.0,-586500000.0,-1114500000.0,-1455700000.0,-3580000.0,-15890000.0,-105916000.0,-1088625000.0,-58100000.0,-77100000.0,-112000000.0,-14800000.0,-14200000.0,-8200000.0
,salesMaturitiesOfInvestments,3200000.0,1900000.0,15900000.0,0.0,0.0,0.0,21000000.0,16600000.0,8600000.0,28800000.0,17700000.0,45200000.0,37500000.0,183300000.0,530400000.0,1383500000.0,1172500000.0,25905000.0,36303000.0,126306000.0,204340000.0,96900000.0,101700000.0,41800000.0,25800000.0,21500000.0,24100000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,-500000.0,0.0,0.0,0.0,0.0,0.0,0.0,-492200000.0,-358800000.0,13500000.0,-297900000.0,-316000000.0,-410028000.0,-586349000.0,-818819000.0,0.0,0.0,0.0,-328200000.0,-178900000.0,-118800000.0,-150600000.0
,netCashUsedForInvestingActivites,-136100000.0,-30900000.0,-221800000.0,-115400000.0,-481600000.0,-263500000.0,-266900000.0,-228200000.0,-350400000.0,-574600000.0,-293700000.0,-226000000.0,-680000000.0,-440500000.0,-188800000.0,-162300000.0,-758900000.0,-528811000.0,-683134000.0,-947852000.0,-1034574000.0,-768100000.0,-551500000.0,-474600000.0,-163800000.0,-145800000.0,-172700000.0
