Date,2016-12,2015-12,2014-12,2013-12,2012-12
Cash and cash equivalents,2000000.0,3000000.0,4000000.0,3000000.0,13000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,4000000.0,2000000.0,4000000.0,3000000.0,3000000.0
Inventories,6000000.0,9000000.0,7000000.0,11000000.0,15000000.0
Total current assets,194000000.0,212000000.0,213000000.0,184000000.0,125000000.0
Property Plant & Equipment Net,188000000.0,206000000.0,208000000.0,179000000.0,122000000.0
Goodwill and Intangible Assets,0,0,0,0,0
Long-term investments,,,,,
Tax assets,3000000.0,1000000.0,0000000.0,0000000.0,1000000.0
Total non-current assets,15000000.0,23000000.0,20000000.0,20000000.0,4000000.0
Total assets,208000000.0,239000000.0,240000000.0,210000000.0,163000000.0
Payables,1000000.0,0000000.0,000000.0,1000000.0,1000000.0
Short-term debt,7000000.0,28000000.0,28000000.0,13000000.0,11000000.0
Total current liabilities,21000000.0,40000000.0,44000000.0,28000000.0,16000000.0
Long-term debt,15000000.0,19000000.0,16000000.0,7000000.0,2000000.0
Total debt,15000000.0,19000000.0,16000000.0,7000000.0,2000000.0
Deferred revenue,0000000.0,0000000.0,1000000.0,1000000.0,000000.0
Tax Liabilities,,,,,
Deposit Liabilities,,,,,
Total non-current liabilities,15000000.0,23000000.0,20000000.0,20000000.0,4000000.0
Total liabilities,36000000.0,63000000.0,65000000.0,48000000.0,20000000.0
Other comprehensive income,1000000.0,12000000.0,23000000.0,17000000.0,12000000.0
Retained earnings (deficit),121000000.0,114000000.0,103000000.0,97000000.0,84000000.0
Total shareholders equity,173000000.0,176000000.0,175000000.0,161000000.0,143000000.0
Investments,,,,,
Net Debt,20000000,44000000,40000000,17000000,0
Other Assets,5000000,16000000,14000000,12000000,3000000
Other Liabilities,0,3000000,1000000,4000000,3000000
