Date,2019-04-30,2018-04-30,2017-04-30,2016-04-30,2015-04-30,2014-04-30,2013-04-30,2012-04-30,2011-04-30,2010-04-30
Cash and cash equivalents,17004000.0,12071000.0,8755000.0,7030000.0,17824295.0,21205315.0,7739044.0,10807172.0,6000805.0,5441885.0
Short-term investments,0.0,25000.0,25000.0,75000.0,75000.0,14493881.0,13996705.0,22369484.0,26018594.0,32536001.0
Cash and short-term investments,17004000.0,12096000.0,8780000.0,7105000.0,17899295.0,35699196.0,21735749.0,33176656.0,32019399.0,37977886.0
Receivables,63000.0,592000.0,344000.0,2537000.0,185128.0,346141.0,923930.0,1287846.0,1741316.0,1923286.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,17619000.0,13255000.0,9746000.0,9759000.0,18221064.0,35392018.0,21446385.0,33853610.0,32968188.0,39701769.0
Property, Plant & Equipment Net,592000.0,712000.0,170000.0,273000.0,263898.0,317513.0,700968.0,682933.0,792092.0,710563.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,828298.0,1044902.0,1269457.0,1222368.0,1036881.0
Long-term investments,155000.0,154000.0,154000.0,0.0,0.0,0.0,0.0,0.0,16323016.0,28865046.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,747000.0,866000.0,327000.0,592000.0,649822.0,2692817.0,3384674.0,3588027.0,20584390.0,33276424.0
Total assets,18366000.0,14121000.0,10073000.0,10351000.0,18870886.0,38084835.0,24831059.0,37441637.0,53552578.0,72978193.0
Payables,312000.0,290000.0,586000.0,373000.0,352827.0,501397.0,510031.0,440773.0,1224728.0,1843378.0
Short-term debt,0.0,23000.0,35000.0,81000.0,100000.0,100000.0,100000.0,100000.0,139378.0,95386.0
Total current liabilities,2444000.0,3743000.0,4603000.0,6168000.0,2959946.0,9234138.0,5627769.0,4984256.0,6011080.0,7132418.0
Long-term debt,0.0,0.0,23000.0,55000.0,50000.0,150000.0,250000.0,350000.0,450000.0,250000.0
Total debt,0.0,23000.0,58000.0,136000.0,150000.0,250000.0,350000.0,450000.0,589378.0,345386.0
Deferred revenue,0.0,18000.0,0.0,39000.0,0.0,992447.0,1349148.0,1073389.0,944022.0,1701541.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,600000.0,5309055.0,600000.0,600000.0,0.0,0.0
Total non-current liabilities,147000.0,142000.0,23000.0,655000.0,650000.0,750000.0,1082033.0,350000.0,1050000.0,990685.0
Total liabilities,2591000.0,3885000.0,4626000.0,6823000.0,3609946.0,9984138.0,6709802.0,5334256.0,7061080.0,8123103.0
Other comprehensive income,-171000.0,-160000.0,-160000.0,-122000.0,-229915.0,-225733.0,-79786.0,-78990.0,175907.0,-503322.0
Retained earnings (deficit),-209784000.0,-197538000.0,-187370000.0,-177884000.0,-164755055.0,-151640503.0,-140671311.0,-125989474.0,-110848972.0,-90413098.0
Total shareholders equity,15775000.0,10236000.0,5447000.0,3528000.0,15688192.0,28474992.0,18290778.0,32136013.0,46469550.0,64814200.0
Investments,155000.0,179000.0,179000.0,75000.0,75000.0,14493881.0,13996705.0,22369484.0,42341610.0,61401047.0
Net Debt,-17004000.0,-12073000.0,-8722000.0,-6969000.0,-17749295.0,-35449196.0,-21385749.0,-32726656.0,-31430021.0,-37632500.0
Other Assets,552000.0,567000.0,622000.0,117000.0,136641.0,-653319.0,-1213294.0,-610892.0,-792527.0,-199403.0
Other Liabilities,2132000.0,3430000.0,3982000.0,5714000.0,2507119.0,8632741.0,5017738.0,4443483.0,4646974.0,5193654.0
