Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,177495000.0,96643000.0,264476000.0,235422000.0,133478000.0,108419000.0,143165000.0,99886000.0,82815000.0,46307000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,3010000.0,94042000.0,23309000.0,40955000.0
Cash and short-term investments,177495000.0,96643000.0,264476000.0,235422000.0,133478000.0,108419000.0,146175000.0,193928000.0,106124000.0,87262000.0
Receivables,179711000.0,151355000.0,133005000.0,80421000.0,78190000.0,117406000.0,65977000.0,55787000.0,61216000.0,68926000.0
Inventories,45024000.0,19551000.0,12000000.0,18074000.0,16930000.0,22289000.0,20669000.0,12541000.0,12538000.0,15486000.0
Total current assets,473064000.0,321646000.0,472830000.0,375136000.0,273874000.0,289340000.0,276234000.0,292185000.0,204654000.0,195255000.0
Property, Plant & Equipment Net,2221268000.0,2028233000.0,1863087000.0,1808170000.0,1734359000.0,1741163000.0,1649014000.0,1889083000.0,1696101000.0,1517288000.0
Goodwill and Intangible Assets,219824000.0,106457000.0,59403000.0,25875000.0,28655000.0,31933000.0,35492000.0,38781000.0,40274000.0,41981000.0
Long-term investments,71983000.0,34084000.0,0.0,0.0,0.0,7076000.0,2591000.0,3757000.0,7271000.0,38352000.0
Tax assets,113760000.0,57337000.0,0.0,0.0,251000.0,1414000.0,21920000.0,1842000.0,18761000.0,3617000.0
Total non-current assets,2648286000.0,2302218000.0,1988739000.0,1898846000.0,1847682000.0,1870093000.0,1811289000.0,2022533000.0,1838674000.0,1668938000.0
Total assets,3121350000.0,2623864000.0,2461569000.0,2273982000.0,2121556000.0,2159433000.0,2087523000.0,2314718000.0,2043328000.0,1864193000.0
Payables,116362000.0,153796000.0,91650000.0,91955000.0,88276000.0,98047000.0,98001000.0,105112000.0,85549000.0,73993000.0
Short-term debt,227180000.0,109308000.0,65971000.0,62654000.0,91779000.0,80389000.0,68333000.0,55554000.0,49020000.0,62259000.0
Total current liabilities,361944000.0,283345000.0,189251000.0,188501000.0,205753000.0,186339000.0,212134000.0,193770000.0,137722000.0,139603000.0
Long-term debt,1040733000.0,804294000.0,883954000.0,838749000.0,909631000.0,997468000.0,962595000.0,969456000.0,740649000.0,495024000.0
Total debt,1267913000.0,913602000.0,949925000.0,901403000.0,1001410000.0,1077857000.0,1030928000.0,1025010000.0,789669000.0,557283000.0
Deferred revenue,66835000.0,71761000.0,86191000.0,91991000.0,85284000.0,71399000.0,91806000.0,102059000.0,74417000.0,76218000.0
Tax Liabilities,61323000.0,61961000.0,36411000.0,32654000.0,67194000.0,55035000.0,65451000.0,54665000.0,30878000.0,53722000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1305707000.0,1038403000.0,1099274000.0,1001607000.0,1129057000.0,1227983000.0,1179782000.0,1214304000.0,960379000.0,812895000.0
Total liabilities,1667651000.0,1321748000.0,1288525000.0,1190108000.0,1334810000.0,1414322000.0,1391916000.0,1408074000.0,1098101000.0,952498000.0
Other comprehensive income,-3799000.0,-4706000.0,-8175000.0,-7667000.0,-8668000.0,487000.0,651000.0,595000.0,1044000.0,622000.0
Retained earnings (deficit),422222000.0,327255000.0,215352000.0,148396000.0,41539000.0,-3088000.0,-44326000.0,172331000.0,221311000.0,196950000.0
Total shareholders equity,1319837000.0,1211378000.0,1076690000.0,990001000.0,774923000.0,732740000.0,688511000.0,898718000.0,939132000.0,906972000.0
Investments,71983000.0,34084000.0,0.0,0.0,0.0,7076000.0,5601000.0,97799000.0,30580000.0,79307000.0
Net Debt,1090418000.0,816959000.0,685449000.0,665981000.0,867932000.0,969438000.0,884753000.0,831082000.0,683545000.0,470021000.0
Other Assets,70834000.0,54097000.0,63349000.0,41219000.0,45276000.0,41226000.0,43413000.0,29929000.0,24776000.0,23581000.0
Other Liabilities,18402000.0,20241000.0,31630000.0,33892000.0,25698000.0,7903000.0,45800000.0,33104000.0,3153000.0,3351000.0
