Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Cash and cash equivalents,25672000.0,10102000.0,10173000.0,5133000.0,5326000.0,7335000.0
Short-term investments,0.0,0.0,0.0,0.0,,
Cash and short-term investments,10102000.0,10173000.0,5133000.0,5326000.0,,
Receivables,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,12844000.0,13245000.0,8244000.0,9532000.0,,
Property, Plant & Equipment Net,3062000.0,3253000.0,3483000.0,3639000.0,3763000.0,4037000.0
Goodwill and Intangible Assets,6912000.0,6912000.0,6912000.0,6912000.0,6912000.0,6912000.0
Long-term investments,5637000.0,5842000.0,380000.0,764000.0,,
Tax assets,443000.0,1691000.0,1862000.0,2538000.0,2704000.0,2661000.0
Total non-current assets,,,,,,
Total assets,538030000.0,525388000.0,524148000.0,502557000.0,473601000.0,461039000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,1000000.0,33000000.0,14500000.0,0.0,,
Total current liabilities,373249000.0,400343000.0,374325000.0,364678000.0,,
Long-term debt,63199000.0,67000000.0,53900000.0,52500000.0,,
Total debt,62949000.0,63863000.0,68582000.0,56259000.0,59537000.0,57681000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,383859000.0,371585000.0,365761000.0,356066000.0,357641000.0,347256000.0
Total non-current liabilities,,,,,,
Total liabilities,452958000.0,441099000.0,439611000.0,417469000.0,421857000.0,409588000.0
Other comprehensive income,-269000.0,-522000.0,-117000.0,-143000.0,-198000.0,-237000.0
Retained earnings (deficit),30638000.0,28822000.0,27195000.0,25901000.0,25919000.0,25793000.0
Total shareholders equity,85072000.0,84289000.0,84537000.0,85088000.0,51744000.0,51451000.0
Investments,483880000.0,485838000.0,484317000.0,469942000.0,439170000.0,426410000.0
Net Debt,54097000.0,,,,,
Other Assets,2742000.0,,,,,
Other Liabilities,372249000.0,367343000.0,359825000.0,364678000.0,,
