Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,93554000.0,98777000.0,114312000.0,150939000.0,183376000.0,187918000.0,164717000.0,132832000.0,120811000.0,106186000.0
Stock-based compensation,4490000.0,5958000.0,5915000.0,3629000.0,7617000.0,6371000.0,7319000.0,6705000.0,6675000.0,7216000.0
Operating Cash Flow,39656000.0,-5817000.0,5131000.0,142719000.0,233041000.0,174580000.0,199366000.0,144879000.0,98351000.0,123313000.0
Capital Expenditure,-61284000.0,-50708000.0,-24804000.0,-101941000.0,-167008000.0,-151520000.0,-361231000.0,-204516000.0,-128672000.0,-113945000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,15090000.0,0.0,0.0,-115537000.0,-1340000.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12569000.0,0.0,0.0
Investing Cash flow,-60202000.0,-47364000.0,-24767000.0,-101656000.0,-151918000.0,-150676000.0,-361231000.0,-307484000.0,-129481000.0,-113909000.0
Issuance (repayment) of debt,0.0,119168000.0,-49819000.0,-61879000.0,-59264000.0,-20887000.0,99068000.0,130307000.0,12654000.0,-19858000.0
Issuance (buybacks) of shares,-538000.0,-533000.0,65489000.0,52000.0,7233000.0,635000.0,333000.0,96484000.0,108000.0,24012000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-538000.0,118635000.0,15670000.0,-61827000.0,-73584000.0,-20252000.0,99401000.0,226791000.0,12762000.0,4154000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-21084000.0,65454000.0,-3966000.0,-20764000.0,7539000.0,3652000.0,-62464000.0,64186000.0,-18368000.0,13558000.0
Free Cash Flow,-21628000.0,-56525000.0,-19673000.0,40778000.0,66033000.0,23060000.0,-161865000.0,-59637000.0,-30321000.0,9368000.0
Net Cash/Marketcap,-4.2617,-1.5521,-0.7127,-2.6654,-1.1886,-0.9497,-1.1011,-0.5272,-0.5162,-0.5579
