date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY
,revenue,1050010000.0,888190000.0,716994000.0,515289000.0,375496000.0,265397000.0,195607000.0,137931000.0,106295000.0,81838000.0,64790000.0,48528000.0
,costOfRevenue,275459000.0,236214000.0,201761000.0,143378000.0,108593000.0,84058000.0,65679000.0,41562000.0,33113000.0,29730000.0,28605000.0,22459000.0
,grossProfit,774551000.0,651976000.0,515233000.0,371911000.0,266903000.0,181339000.0,129928000.0,96369000.0,73182000.0,52108000.0,36185000.0,26069000.0
,grossProfitRatio,0.737660593708631,0.734050146928022,0.718601550361649,0.721752259411709,0.710801180305516,0.683274490668696,0.664229807726717,0.698675424668856,0.688480173103156,0.636721327500672,0.558496681586665,0.537195021430926
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,283799000.0,230463000.0,185391000.0,129803000.0,98506000.0,74459000.0,51903000.0,34449000.0,24827000.0,19779000.0,17583000.0,11831000.0
,GeneralAndAdministrativeExpenses,97713000.0,109727000.0,86185000.0,52735000.0,52774000.0,36616000.0,26679000.0,19622000.0,12693000.0,9237000.0,7465000.0,5678000.0
,SellingAndMarketingExpenses,488235000.0,416717000.0,345368000.0,258837000.0,201204000.0,156156000.0,102455000.0,71781000.0,55239000.0,42676000.0,31161000.0,27883000.0
,otherExpenses,548000.0,7109000.0,-1102000.0,774000.0,-1103000.0,-1927000.0,-2230000.0,-215000.0,-154000.0,0.0,0.0,0.0
,operatingExpenses,869747000.0,756907000.0,616944000.0,441375000.0,352484000.0,267231000.0,181037000.0,125852000.0,92759000.0,0.0,0.0,0.0
,costAndExpenses,1145206000.0,993121000.0,818705000.0,584753000.0,461077000.0,351289000.0,246716000.0,167414000.0,125872000.0,101422000.0,84814000.0,67851000.0
,interestExpense,36241000.0,12526000.0,14168000.0,25597000.0,23538000.0,18000000.0,11213000.0,641000.0,108000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,95965000.0,80332000.0,73553000.0,42098000.0,31552000.0,24900000.0,17823000.0,9967000.0,7710000.0,7684000.0,7643000.0,6791000.0
,EBITDA,769000.0,-24599000.0,-28158000.0,-27366000.0,-54029000.0,-60992000.0,-33286000.0,-19516000.0,-11867000.0,-11900000.0,-12381000.0,-12532000.0
,EBITDARatio,0.000732373977390692,-0.0276956507053671,-0.0392722951656499,-0.0531080616896538,-0.14388701876984,-0.229814202873431,-0.170167734283538,-0.141491035372759,-0.111642128039889,-0.145409223099294,-0.191094304676648,-0.258242664029014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-95196000.0,-104931000.0,-101711000.0,-69464000.0,-85581000.0,-85892000.0,-51109000.0,-29483000.0,-19577000.0,-19584000.0,-20024000.0,-19323000.0
,operatingIncomeRatio,-0.0906619936952981,-0.118140262781612,-0.141857532977961,-0.134805905035815,-0.227914545028442,-0.323635911483551,-0.261284105374552,-0.213751803437951,-0.184176113645985,-0.239302035729123,-0.30906004012965,-0.398182492581602
,totalOtherIncomeExpensesNet,548000.0,7109000.0,-1102000.0,774000.0,-1103000.0,-1927000.0,-2230000.0,-215000.0,-154000.0,113000.0,-258000.0,-269000.0
,incomeBeforeTax,-130889000.0,-110348000.0,-116981000.0,-94287000.0,-110222000.0,-105819000.0,-64552000.0,-30339000.0,-19839000.0,-19771000.0,-20622000.0,-19505000.0
,incomeBeforeTaxRatio,-0.124655003285683,-0.124239183057679,-0.163154782327328,-0.182978872050442,-0.293537081620044,-0.398719653952381,-0.330008639772605,-0.219957804989451,-0.18664095206736,-0.241587037806398,-0.318289859546226,-0.401932904714804
,incomeTaxExpense,32920000.0,19917000.0,-13232000.0,-9950000.0,986000.0,635000.0,-313000.0,-2808000.0,521000.0,370000.0,243000.0,233000.0
,netIncome,-163809000.0,-130265000.0,-103749000.0,-84337000.0,-111208000.0,-106454000.0,-64239000.0,-27531000.0,-20360000.0,-20141000.0,-20865000.0,-19738000.0
