Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,253189000.0,257702000.0,282604000.0,294581000.0
Stock-based compensation,19646000.0,15922000.0,11278000.0,7000000.0
Operating Cash Flow,156523000.0,190111000.0,145040000.0,-16969000.0
Capital Expenditure,0.0,0.0,0.0,0.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0
Investment purchases and sales,-98088000.0,-1987000.0,0.0,0.0
Investing Cash flow,156610000.0,295731000.0,-636966000.0,-95416000.0
Issuance (repayment) of debt,-27299000.0,-1044821000.0,-689269000.0,-927633000.0
Issuance (buybacks) of shares,-102863000.0,-219381000.0,-162965000.0,-143884000.0
Dividend payments,-94991000.0,-89276000.0,-82105000.0,-85458000.0
Financing Cash Flow,-198149000.0,-427756000.0,518994000.0,-182330000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,339653000.0,219381000.0,27068000.0,-294715000.0
Free Cash Flow,156523000.0,190111000.0,145040000.0,-16969000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0
