Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Cash and cash equivalents,3219767000.0,822137000.0,884886000.0,1221653000.0,1180584000.0,1613555000.0,1781412000.0,838317000.0,657466000.0,575526000.0,187611000.0
Short-term investments,150931000.0,32995000.0,39318000.0,882342000.0,733490000.0,573701000.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,3370698000.0,855132000.0,924204000.0,2103995000.0,1914074000.0,2187256000.0,1781412000.0,838317000.0,657466000.0,575526000.0,187611000.0
Receivables,2441762000.0,2473916000.0,2185738000.0,1826103000.0,1984728000.0,2246613000.0,2062745000.0,1992284000.0,1977856000.0,1599941000.0,1417305000.0
Inventories,1678132000.0,1621304000.0,1549494000.0,1173329000.0,1300459000.0,1371681000.0,1377405000.0,1400732000.0,1412153000.0,1171655000.0,1254550000.0
Total current assets,7673086000.0,5085238000.0,4779718000.0,5207787000.0,5440945000.0,6071580000.0,5531186000.0,4498114000.0,4305256000.0,3588796000.0,6732121000.0
Property, Plant & Equipment Net,1768287000.0,1856237000.0,1937292000.0,1568100000.0,1664022000.0,1824294000.0,1808240000.0,1719968000.0,1797179000.0,1697881000.0,1880554000.0
Goodwill and Intangible Assets,7237082000.0,7519940000.0,7894362000.0,3825608000.0,3956118000.0,4359707000.0,4514014000.0,4021074000.0,4186838000.0,3936385000.0,4176939000.0
Long-term investments,747773000.0,801049000.0,842475000.0,827492000.0,811930000.0,1018781000.0,687458000.0,931126000.0,597532000.0,687320000.0,674628000.0
Tax assets,150462000.0,57623000.0,36057000.0,605155000.0,406267000.0,136193000.0,126955000.0,129352000.0,145847000.0,130129000.0,121980000.0
Total non-current assets,9903604000.0,10234849000.0,10710186000.0,6826355000.0,6838337000.0,7202782000.0,7009712000.0,6672168000.0,6581549000.0,6321586000.0,3499708000.0
Total assets,17576690000.0,15320087000.0,15489904000.0,12034142000.0,12279282000.0,13274362000.0,12540898000.0,11170282000.0,10886805000.0,9910382000.0,9855902000.0
Payables,1413155000.0,1430306000.0,1300496000.0,1034589000.0,1092138000.0,1252040000.0,1156002000.0,1194684000.0,1173851000.0,888743000.0,649718000.0
Short-term debt,587014000.0,638466000.0,1008465000.0,361787000.0,223142000.0,816622000.0,1333826000.0,225589000.0,75271000.0,363272000.0,481467000.0
Total current liabilities,3151773000.0,3197483000.0,3395860000.0,2365888000.0,2349120000.0,3252796000.0,3520203000.0,2486013000.0,2391043000.0,2204891000.0,2005754000.0
Long-term debt,6520831000.0,4318559000.0,4861895000.0,2652457000.0,2723960000.0,1508142000.0,1495960000.0,1503946000.0,1691086000.0,1413634000.0,1839705000.0
Total debt,7107845000.0,4957025000.0,5870360000.0,3014244000.0,2947102000.0,2324764000.0,2829786000.0,1729535000.0,1766357000.0,1776906000.0,2321172000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,360378000.0,433736000.0,374927000.0,181992000.0,202507000.0,318430000.0,238999000.0,241900000.0,392809000.0,311670000.0,296564000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,8456765000.0,6257111000.0,6826698000.0,5089576000.0,4822593000.0,3358758000.0,3279214000.0,3778539000.0,3007426000.0,3246091000.0,3499708000.0
Total liabilities,11608538000.0,9454594000.0,10222558000.0,7455464000.0,7171713000.0,6611554000.0,6799417000.0,6264552000.0,5398469000.0,5450982000.0,5505462000.0
Other comprehensive income,-2059048000.0,-1763086000.0,-1924204000.0,-2227765000.0,-1738618000.0,-823498000.0,-1107833000.0,-1415900000.0,-450990000.0,-1208561000.0,-843019000.0
Retained earnings (deficit),12777538000.0,11625975000.0,10930348000.0,10302866000.0,9841885000.0,9174189000.0,8421270000.0,7787175000.0,6891407000.0,6086545000.0,5722038000.0
Total shareholders equity,5961969000.0,5859866000.0,5261649000.0,4575255000.0,5104287000.0,6659428000.0,5738426000.0,4896515000.0,5383854000.0,4367965000.0,4268199000.0
Investments,898704000.0,834044000.0,881793000.0,1709834000.0,1545420000.0,1592482000.0,687458000.0,931126000.0,597532000.0,687320000.0,674628000.0
Net Debt,3737147000.0,4101893000.0,4946156000.0,910249000.0,1033028000.0,137508000.0,1048374000.0,891218000.0,1108891000.0,1201380000.0,2133561000.0
Other Assets,182494000.0,134886000.0,120282000.0,104360000.0,241684000.0,266030000.0,309624000.0,266781000.0,257781000.0,241674000.0,264315000.0
Other Liabilities,1151604000.0,1128711000.0,1086899000.0,969512000.0,1033840000.0,1184134000.0,1030375000.0,1065740000.0,1141921000.0,952876000.0,874569000.0
