Date,2019-03-02,2018-03-03,2017-02-25,2016-02-27,2015-02-28,2014-03-01,2013-03-02,2012-02-25,2011-02-26,2010-02-27
Revenue,1552938000.0,1798522000.0,1828446000.0,1892230000.0,1865782000.0,1771743000.0,1704885000.0,1533611000.0,1396470000.0,1290852000.0
Revenue Growth,-0.136547676369819,-0.016365810092286,-0.0337083758316907,0.0141752895032753,0.0530771110708494,0.0392155482627861,0.111680210953103,0.0982054752339828,0.0818203790984559,-0.0226
Cost of Revenue,1102035000.0,1140372000.0,1131138000.0,1187250000.0,1116076000.0,1026180000.0,961826000.0,882449000.0,841083000.0,850438000.0
Gross Profit,450903000.0,658150000.0,697308000.0,704980000.0,749706000.0,745563000.0,743059000.0,651162000.0,555387000.0,440414000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,587459000.0,576878000.0,587843000.0,578828000.0,576131000.0,531190000.0,513085000.0,475162000.0,431900000.0,421179000.0
Operating Expenses,587459000.0,576878000.0,587843000.0,578828000.0,576131000.0,531190000.0,513085000.0,475162000.0,451639000.0,443667000.0
Operating Income,-188085000.0,27669000.0,54862000.0,75208000.0,127271000.0,175500000.0,198986000.0,154760000.0,103748000.0,-3253000.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3087000.0,5368000.0,23726000.0
Earnings before Tax,-201379000.0,17897000.0,45259000.0,63165000.0,111338000.0,165658000.0,201000000.0,164107000.0,103544000.0,32051000.0
Income Tax Expense,-2546000.0,6271000.0,15130000.0,23531000.0,45240000.0,67118000.0,71556000.0,-4831000.0,3419000.0,-54796000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-198833000.0,11626000.0,30129000.0,39634000.0,75162000.0,107531000.0,129444000.0,168938000.0,100125000.0,86847000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-198833000.0,11626000.0,30129000.0,39634000.0,75162000.0,107531000.0,129444000.0,168938000.0,100125000.0,86847000.0
EPS,-2.46,0.14,0.37,0.47,0.83,1.03,1.22,1.5,17.2,17.2
EPS Diluted,-2.46,0.14,0.37,0.46,0.82,1.01,1.2,1.48,17.0,17.2
Weighted Average Shs Out,80708000.0,80223000.0,80919000.0,84939000.0,91081000.0,104121000.0,106222000.0,112534000.0,5863841.0,5779425.0
Weighted Average Shs Out (Dil),80708000.0,80254000.0,80984000.0,85370000.0,92128000.0,106248000.0,108259000.0,114390000.0,5823300.0,5035750.0
Dividend per Share,0.0,0.277793007202,0.277845006421,0.277287103198,0.234749478986,0.204210902793,0.166166323354,0.0,0.0,0.0
Gross Margin,0.290354798453,0.365939365768,0.381366471856,0.372565702901,0.401818647623,0.420807645353,0.435841127114,0.424593981133,0.3977,0.3412
EBITDA Margin,-0.0827863056993,0.0501361673641,0.0636819463085,0.0702583723966,0.0992318502376,0.126701784627,0.143314065172,0.0971987029305,0.102,0.069
EBIT Margin,-0.121115588646,0.0153842988854,0.0300047143859,0.0397456968762,0.0682132210515,0.0990549983829,0.116715203665,0.100912160907,0.078,0.0432
Profit Margin,-0.128036663408,0.00646419671263,0.0164779271578,0.0209456567119,0.0402844490943,0.0606922110035,0.0759253556692,0.110157008524,0.072,0.067
Free Cash Flow margin,-0.0870878296493,0.00698184398078,0.0391354188201,0.0593130856186,-0.00866553541625,0.044547092891,0.0256240156961,0.0521025214347,0.092,0.0512
EBITDA,-128562000.0,90171000.0,116439000.0,132945000.0,185145000.0,224483000.0,244334000.0,149065000.0,142718000.0,89112000.0
EBIT,-188085000.0,27669000.0,54862000.0,75208000.0,127271000.0,175500000.0,198986000.0,154760000.0,108912000.0,55777000.0
Consolidated Income,-198833000.0,11626000.0,30129000.0,39634000.0,75162000.0,107531000.0,129444000.0,168938000.0,100125000.0,86847000.0
Earnings Before Tax Margin,-0.129676136459,0.00995094861225,0.0247527135064,0.0333812485797,0.059673638185,0.0935000166503,0.117896515014,0.107006926789,0.0741,0.0248
Net Profit Margin,-0.128036663408,0.00646419671263,0.0164779271578,0.0209456567119,0.0402844490943,0.0606922110035,0.0759253556692,0.110157008524,0.0717,0.0673
