Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,295476000.0,160505000.0,118039000.0,161770000.0,161119000.0,84406000.0,83558000.0,68786000.0,56138000.0,62449000.0
Short-term investments,0.0,0.0,15996000.0,2500000.0,0.0,0.0,0.0,0.0,73000.0,0.0
Cash and short-term investments,295476000.0,160505000.0,134035000.0,164270000.0,161119000.0,84406000.0,83558000.0,68786000.0,56211000.0,62449000.0
Receivables,41822000.0,32484000.0,33285000.0,39115000.0,71095000.0,46566000.0,38801000.0,33864000.0,27402000.0,12035000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,346143000.0,202056000.0,173657000.0,210925000.0,240289000.0,137129000.0,127426000.0,110674000.0,89490000.0,78627000.0
Property, Plant & Equipment Net,14676000.0,14007000.0,15238000.0,15777000.0,15788000.0,15587000.0,12788000.0,4703000.0,3248000.0,2959000.0
Goodwill and Intangible Assets,57585000.0,65387000.0,32746000.0,34636000.0,41758000.0,15256000.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,10505000.0,4585000.0,0.0,0.0,0.0
Total non-current assets,90824000.0,86627000.0,53997000.0,52286000.0,59836000.0,42699000.0,19053000.0,10585000.0,8638000.0,6702000.0
Total assets,436967000.0,288683000.0,227654000.0,263211000.0,300125000.0,179828000.0,146479000.0,121259000.0,98128000.0,85329000.0
Payables,6934000.0,2976000.0,2744000.0,8273000.0,10564000.0,7839000.0,3775000.0,4915000.0,2131000.0,1198000.0
Short-term debt,136529000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,274750000.0,102025000.0,96721000.0,86354000.0,88386000.0,65002000.0,54476000.0,44340000.0,37164000.0,27872000.0
Long-term debt,88661000.0,213203000.0,122299000.0,115860000.0,110448000.0,0.0,0.0,0.0,0.0,0.0
Total debt,225190000.0,213203000.0,122299000.0,115860000.0,110448000.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,117165000.0,95195000.0,79738000.0,65329000.0,58434000.0,45251000.0,41781000.0,35944000.0,29890000.0,16517000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,107318000.0,233637000.0,134327000.0,121443000.0,112740000.0,3523000.0,3334000.0,2976000.0,1461000.0,2418000.0
Total liabilities,382068000.0,335662000.0,231048000.0,207797000.0,201126000.0,68525000.0,57810000.0,47316000.0,38625000.0,30290000.0
Other comprehensive income,-3374000.0,-2816000.0,-4910000.0,-4322000.0,-2249000.0,0.0,0.0,0.0,-11000.0,0.0
Retained earnings (deficit),-292708000.0,-238185000.0,-160259000.0,-85034000.0,-19223000.0,18328000.0,14882000.0,9916000.0,3577000.0,5508000.0
Total shareholders equity,54899000.0,-46979000.0,-3394000.0,55414000.0,98999000.0,111303000.0,88669000.0,73943000.0,59503000.0,55039000.0
Investments,0.0,0.0,15996000.0,2500000.0,0.0,0.0,0.0,0.0,73000.0,0.0
Net Debt,-70286000.0,52698000.0,-11736000.0,-48410000.0,-50671000.0,-84406000.0,-83558000.0,-68786000.0,-56211000.0,-62449000.0
Other Assets,8845000.0,9067000.0,6337000.0,7540000.0,8075000.0,6157000.0,5067000.0,8024000.0,5877000.0,4143000.0
Other Liabilities,131287000.0,99049000.0,93977000.0,78081000.0,77822000.0,57163000.0,50701000.0,39425000.0,35033000.0,26674000.0
