Date,2017-12,2016-12,2015-12,2014-12,2013-12
Cash and cash equivalents,584000000.0,458000000.0,1009000000.0,5232000000.0,4081000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,,,,,
Inventories,1517000000.0,2319000000.0,1887000000.0,1858000000.0,2668000000.0
Total current assets,33412000000.0,31767000000.0,38278000000.0,35110000000.0,31502000000.0
Property, Plant & Equipment Net,6721000000.0,6736000000.0,6828000000.0,7139000000.0,6880000000.0
Goodwill and Intangible Assets,0,0,1239000000,1239000000,1208000000
Long-term investments,,,,,
Tax assets,000000.0,000000.0,6000000.0,8000000.0,12000000.0
Total non-current assets,10090000000.0,9685000000.0,13271000000.0,13518000000.0,8304000000.0
Total assets,39679000000.0,38662000000.0,43549000000.0,44640000000.0,39890000000.0
Payables,611000000.0,644000000.0,739000000.0,777000000.0,1331000000.0
Short-term debt,2447000000.0,3083000000.0,3318000000.0,4308000000.0,6176000000.0
Total current liabilities,4857000000.0,5578000000.0,5715000000.0,7523000000.0,9775000000.0
Long-term debt,6950000000.0,6593000000.0,6259000000.0,5947000000.0,55000000.0
Total debt,6950000000.0,6593000000.0,6259000000.0,5947000000.0,55000000.0
Deferred revenue,,,,,
Tax Liabilities,3005000000.0,2958000000.0,3939000000.0,3859000000.0,3916000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,10090000000.0,9685000000.0,13271000000.0,13518000000.0,8304000000.0
Total liabilities,14947000000.0,15262000000.0,18986000000.0,21041000000.0,18079000000.0
Other comprehensive income,2876000000.0,2873000000.0,2983000000.0,2829000000.0,1686000000.0
Retained earnings (deficit),15771000000.0,14442000000.0,15496000000.0,14712000000.0,14129000000.0
Total shareholders equity,24732000000.0,23400000000.0,24563000000.0,23599000000.0,21811000000.0
Investments,,,,,
Net Debt,8813000000,9218000000,8568000000,5023000000,2150000000
Other Assets,28315000000,26643000000,32581000000,29164000000,25042000000
Other Liabilities,1934000000,1985000000,1989000000,2665000000,2472000000
