Date,2018-12-30,2017-12-31,2016-12-25,2015-12-27,2014-12-28,2013-12-29,2012-12-30,2011-12-25,2010-12-26,2009-12-27
Depreciation & Amortization,46403000.0,43668000.0,40987000.0,40307000.0,39965000.0,35105000.0,32798000.0,32681000.0,32407000.0,31446000.0
Stock-based compensation,9936000.0,10413000.0,10123000.0,9423000.0,8712000.0,7409000.0,6905000.0,6704000.0,6066000.0,5817000.0
Operating Cash Flow,72795000.0,134975000.0,150257000.0,170463000.0,122632000.0,101360000.0,104379000.0,101008000.0,92581000.0,103826000.0
Capital Expenditure,-42028000.0,-52593000.0,-55554000.0,-38972000.0,-48655000.0,-50750000.0,-42628000.0,-29319000.0,-31125000.0,-33538000.0
Acquisitions and disposals,7707000.0,-21000.0,3492000.0,-922000.0,-4373000.0,0.0,-5267000.0,0.0,1397000.0,366000.0
Investment purchases and sales,-4658000.0,-3918000.0,5359000.0,442000.0,-2562000.0,973000.0,-1261000.0,1865000.0,1281000.0,-3139000.0
Investing Cash flow,-38799000.0,-56498000.0,-46274000.0,-38952000.0,-55034000.0,-49438000.0,-49120000.0,-27386000.0,-28435000.0,-35555000.0
Issuance (repayment) of debt,153087000.0,166244000.0,44575000.0,25549000.0,72551000.0,69642000.0,36769000.0,-47511000.0,0.0,-31575000.0
Issuance (buybacks) of shares,-155350000.0,-203326000.0,-115321000.0,-114596000.0,-111563000.0,-111704000.0,-93831000.0,-51281000.0,-40526000.0,-18647000.0
Dividend payments,-28985000.0,-30720000.0,-27896000.0,-24844000.0,-21735000.0,-10797000.0,0.0,0.0,0.0,0.0
Financing Cash Flow,-36682000.0,-72060000.0,-109030000.0,-130278000.0,-60923000.0,-54715000.0,-57929000.0,-102601000.0,-43218000.0,-53054000.0
Effect of forex changes on cash,-191000.0,365000.0,-396000.0,-349000.0,-223000.0,67000.0,124000.0,92000.0,62000.0,176000.0
Net cash flow / Change in cash,-2877000.0,6782000.0,-5443000.0,884000.0,6452000.0,-2726000.0,-2546000.0,-28887000.0,20990000.0,15393000.0
Free Cash Flow,30767000.0,82382000.0,94703000.0,131491000.0,73977000.0,50610000.0,61751000.0,71689000.0,61456000.0,70288000.0
Net Cash/Marketcap,-0.4638,-0.2179,-0.0871,-0.1042,-0.0913,-0.071,-0.053,-0.0304,-0.0654,-0.1076
