Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,43695000.0,36086000.0,169508000.0,191471000.0,200895000.0,8388000.0,14856000.0,0.0,6788000.0,89003000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3999000.0
Cash and short-term investments,43695000.0,36086000.0,169508000.0,191471000.0,200895000.0,8388000.0,14856000.0,0.0,6788000.0,93002000.0
Receivables,58677000.0,67046000.0,24990000.0,18398000.0,34466000.0,29928000.0,32570000.0,0.0,13477000.0,9717000.0
Inventories,67379000.0,67078000.0,26045000.0,26388000.0,24763000.0,27639000.0,15496000.0,0.0,17707000.0,15038000.0
Total current assets,193397000.0,331229000.0,225394000.0,240664000.0,275121000.0,78619000.0,74772000.0,0.0,56027000.0,126223000.0
Property Plant & Equipment Net,73901000.0,61585000.0,50858000.0,52547000.0,49226000.0,48057000.0,34156000.0,0.0,30763000.0,21251000.0
Goodwill and Intangible Assets,512050000.0,540855000.0,111473000.0,112563000.0,122638000.0,143025000.0,131354000.0,0.0,125680000.0,8413000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,22192000.0,13401000.0,21222000.0,0.0,8316000.0,8362000.0,6622000.0,0.0,15503000.0,15083000.0
Total non-current assets,612974000.0,604022000.0,162856000.0,165841000.0,176429000.0,192866000.0,167327000.0,0.0,158566000.0,40122000.0
Total assets,806371000.0,935251000.0,388250000.0,406505000.0,451550000.0,271485000.0,242099000.0,0.0,214593000.0,166345000.0
Payables,25171000.0,27279000.0,16047000.0,8675000.0,12421000.0,6950000.0,7864000.0,0.0,4715000.0,5212000.0
Short-term debt,0.0,10184000.0,4999000.0,6999000.0,8043000.0,7640000.0,8649000.0,0.0,280000.0,234000.0
Total current liabilities,159735000.0,128348000.0,33612000.0,30830000.0,36385000.0,24009000.0,23161000.0,0.0,15777000.0,29524000.0
Long-term debt,0.0,227394000.0,144340000.0,143297000.0,142097000.0,5126000.0,5000000.0,0.0,79774000.0,6527000.0
Total debt,0.0,237578000.0,149339000.0,150296000.0,150140000.0,12766000.0,13649000.0,0.0,80054000.0,6761000.0
Deferred revenue,0.0,0.0,0.0,3658000.0,6330000.0,2029000.0,0.0,0.0,0.0,0.0
Tax Liabilities,15245000.0,9565000.0,8604000.0,7684000.0,7065000.0,20000.0,9051000.0,0.0,5250000.0,8511000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,12077000.0,234765000.0,146635000.0,147827000.0,159708000.0,14264000.0,9043000.0,0.0,86295000.0,10371000.0
Total liabilities,380787000.0,708147000.0,187620000.0,187829000.0,206539000.0,47706000.0,42319000.0,0.0,102072000.0,39895000.0
Other comprehensive income,363921000,239489000,204905000,209121000,229374000,201021000,184431000,0.0,0.0,34000.0
Retained earnings (deficit),61763000.0,-12420000.0,-4255000.0,9553000.0,15632000.0,22706000.0,15316000.0,0.0,2690000.0,13961000.0
Total shareholders equity,425584000.0,227104000.0,200630000.0,218676000.0,245011000.0,223779000.0,199780000.0,0.0,112521000.0,126450000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3999000.0
Net Debt,-43695000.0,201492000.0,-20169000.0,-41175000.0,-50755000.0,4378000.0,-1207000.0,0.0,73266000.0,-86241000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18055000.0,8466000.0
Other Liabilities,208975000.0,345034000.0,7373000.0,9172000.0,10446000.0,9433000.0,10115000.0,0.0,10782000.0,24078000.0
