Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,8636000.0,7690000.0,10364000.0,7072000.0,11684000.0,37725000.0,28644000.0,70161000.0,107982000.0,72507000.0
Short-term investments,0.0,0.0,0.0,6249000.0,23486000.0,13233000.0,21496000.0,0.0,8790000.0,28581000.0
Cash and short-term investments,8636000.0,7690000.0,10364000.0,13321000.0,35170000.0,50958000.0,50140000.0,70161000.0,116772000.0,101088000.0
Receivables,485000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13764000.0,13732000.0
Inventories,0.0,0.0,0.0,0.0,168000.0,4102000.0,6036000.0,6198000.0,4502000.0,4123000.0
Total current assets,17918000.0,15205000.0,20646000.0,28629000.0,52752000.0,71749000.0,75950000.0,98437000.0,136532000.0,120760000.0
Property Plant & Equipment Net,545000.0,911000.0,1827000.0,2942000.0,1899000.0,5419000.0,5966000.0,6177000.0,7528000.0,7855000.0
Goodwill and Intangible Assets,11218000.0,13685000.0,14859000.0,19135000.0,21909000.0,8578000.0,9964000.0,41456000.0,0.0,0.0
Long-term investments,3100000.0,3100000.0,3100000.0,3100000.0,0.0,0.0,0.0,0.0,0.0,9037000.0
Tax assets,327000.0,156000.0,70000.0,57000.0,2000.0,85000.0,606000.0,8589000.0,2934000.0,3176000.0
Total non-current assets,12362000.0,19071000.0,21583000.0,25783000.0,27425000.0,17397000.0,19613000.0,59223000.0,11512000.0,19522000.0
Total assets,30280000.0,34276000.0,42229000.0,54412000.0,80177000.0,89146000.0,95563000.0,157660000.0,148044000.0,140282000.0
Payables,2838000.0,3878000.0,2394000.0,3864000.0,3197000.0,5282000.0,5192000.0,5469000.0,6045000.0,6898000.0
Short-term debt,152000.0,1047000.0,508000.0,502000.0,0.0,26000.0,47000.0,48000.0,0.0,0.0
Total current liabilities,17053000.0,16672000.0,15431000.0,19113000.0,19377000.0,23028000.0,19807000.0,20156000.0,16303000.0,17589000.0
Long-term debt,3431000.0,7605000.0,6617000.0,519000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,3583000.0,8652000.0,7125000.0,1021000.0,0.0,26000.0,47000.0,48000.0,0.0,0.0
Deferred revenue,9672000.0,8923000.0,8992000.0,10413000.0,9015000.0,9550000.0,8941000.0,8492000.0,7840000.0,8158000.0
Tax Liabilities,1724000.0,1136000.0,1042000.0,0.0,53000.0,1036000.0,1017000.0,0.0,354000.0,435000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,6222000.0,8412000.0,8222000.0,4542000.0,2527000.0,3537000.0,5129000.0,5204000.0,3104000.0,2744000.0
Total liabilities,23275000.0,25084000.0,23653000.0,23655000.0,21904000.0,26565000.0,25039000.0,25720000.0,19407000.0,20333000.0
Other comprehensive income,69072000,68035000,66864000,65484000,63566000,58411000,56706000,54835000,317000.0,777000.0
Retained earnings (deficit),-58875000.0,-56197000.0,-44473000.0,-33298000.0,-4599000.0,3921000.0,13615000.0,76875000.0,84657000.0,78782000.0
Total shareholders equity,7005000.0,9192000.0,18576000.0,30757000.0,58273000.0,62581000.0,70524000.0,131940000.0,128131000.0,119949000.0
Investments,3100000.0,3100000.0,3100000.0,9349000.0,23486000.0,13233000.0,21496000.0,0.0,8790000.0,37618000.0
Net Debt,-5053000.0,962000.0,-3239000.0,-6051000.0,-11684000.0,-37699000.0,-28597000.0,-70113000.0,-116772000.0,-101088000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494000.0,1817000.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,103000.0,360000.0,10258000.0,10691000.0
