Date,2019-01-31,2018-01-31,2017-01-31,2016-01-31,2015-01-31,2014-01-31,2013-01-31,2012-01-31,2011-01-31,2010-01-31
Cash and cash equivalents,65787000.0,40535000.0,50648000.0,33782000.0,51949000.0,52987000.0,49353000.0,25842000.0,37563000.0,40684000.0
Short-term investments,0.0,0.0,0.0,3110000.0,250000.0,250000.0,3107000.0,3299000.0,1000000.0,3000000.0
Cash and short-term investments,65787000.0,40535000.0,50648000.0,33782000.0,52199000.0,53237000.0,49353000.0,25842000.0,38563000.0,43684000.0
Receivables,54472000.0,58532000.0,43143000.0,38069000.0,56576000.0,54643000.0,56303000.0,60759000.0,39967000.0,34327000.0
Inventories,54076000.0,55351000.0,42336000.0,45839000.0,55152000.0,54865000.0,46189000.0,54756000.0,43679000.0,34475000.0
Total current assets,183071000.0,160279000.0,138816000.0,125229000.0,170979000.0,169405000.0,156748000.0,147559000.0,128181000.0,117747000.0
Property Plant & Equipment Net,106615000.0,106280000.0,106324000.0,115704000.0,117513000.0,98076000.0,81238000.0,61894000.0,41522000.0,33029000.0
Goodwill and Intangible Assets,67235000.0,57294000.0,52697000.0,53628000.0,70638000.0,30430000.0,30955000.0,31686000.0,12362000.0,12884000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,1045000.0,1397000.0,0.0,3110000.0,3958000.0,3372000.0,3107000.0,3299000.0,2733000.0,2471000.0
Total non-current assets,177174000.0,166524000.0,162693000.0,173459000.0,191894000.0,132414000.0,116462000.0,98144000.0,59579000.0,52562000.0
Total assets,360245000.0,326803000.0,301509000.0,298688000.0,362873000.0,301819000.0,273210000.0,245703000.0,187760000.0,170309000.0
Payables,8272000.0,13106000.0,8467000.0,6038000.0,11545000.0,12324000.0,14438000.0,16162000.0,16715000.0,12398000.0
Short-term debt,154000.0,196000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,33053000.0,36942000.0,28382000.0,18819000.0,31843000.0,29819000.0,33061000.0,40646000.0,34335000.0,25960000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,154000.0,196000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,1303000.0,1890000.0,1860000.0,739000.0,1111000.0,1247000.0,1431000.0,1491000.0,0.0,0.0
Tax Liabilities,328000.0,226000.0,498000.0,475000.0,536000.0,4660000.0,4213000.0,3567000.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524000.0,1306000.0
Total non-current liabilities,19894000.0,14410000.0,13696000.0,18750000.0,29751000.0,23910000.0,21809000.0,27766000.0,12211000.0,11098000.0
Total liabilities,51290000.0,50739000.0,42083000.0,34533000.0,57720000.0,50457000.0,51864000.0,65204000.0,46546000.0,37058000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1120000.0,-1201000.0
Retained earnings (deficit),285969000.0,252772000.0,230649000.0,229443000.0,244180000.0,231029000.0,205695000.0,193650000.0,156125000.0,149732000.0
Total shareholders equity,308955000.0,276064000.0,259426000.0,264155000.0,305153000.0,251362000.0,221346000.0,180499000.0,141214000.0,133251000.0
Investments,0.0,0.0,0.0,3110000.0,250000.0,250000.0,3107000.0,3299000.0,1000000.0,3000000.0
Net Debt,-65633000.0,-40339000.0,-50648000.0,-33782000.0,-51949000.0,-52987000.0,-49353000.0,-25842000.0,-38563000.0,-43684000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5972000.0,5261000.0
Other Liabilities,-1657000.0,-613000.0,5000.0,-3036000.0,-3874000.0,-3272000.0,-3006000.0,-3208000.0,17620000.0,13562000.0
