Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Cash and cash equivalents,113336000.0,18349000.0,29798000.0,80042000.0,3618000.0,12793000.0,1372000.0
Short-term investments,94375000.0,0.0,96675000.0,31238000.0,0.0,0.0,0.0
Cash and short-term investments,207711000.0,18349000.0,126473000.0,111280000.0,3618000.0,12793000.0,1372000.0
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,209088000.0,18955000.0,128349000.0,112366000.0,3670000.0,12859000.0,1417000.0
Property, Plant & Equipment Net,2027000.0,985000.0,1130000.0,812000.0,0.0,0.0,0.0
Goodwill and Intangible Assets,30815000.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,7402000.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,42225000.0,1192000.0,1298000.0,955000.0,1850000.0,4000.0,4000.0
Total assets,251313000.0,20147000.0,129647000.0,113321000.0,5520000.0,12863000.0,1421000.0
Payables,15372000.0,4521000.0,1592000.0,1633000.0,1146000.0,229000.0,387000.0
Short-term debt,0.0,0.0,0.0,0.0,4604000.0,1410000.0,2713000.0
Total current liabilities,15372000.0,4521000.0,7042000.0,4141000.0,7222000.0,3218000.0,3765000.0
Long-term debt,41447000.0,0.0,48960000.0,0.0,2550000.0,5395000.0,0.0
Total debt,41447000.0,0.0,48960000.0,0.0,7154000.0,6805000.0,2713000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,41904000.0,107000.0,49437000.0,367000.0,3056000.0,7307000.0,24000.0
Total liabilities,57276000.0,4628000.0,56479000.0,4508000.0,10278000.0,10525000.0,3789000.0
Other comprehensive income,-127000.0,0.0,-54000.0,-11000.0,0.0,0.0,0.0
Retained earnings (deficit),-105873000.0,-31355000.0,-238877000.0,-196023000.0,-128041000.0,-118510000.0,-110894000.0
Total shareholders equity,194037000.0,15519000.0,73168000.0,108813000.0,-51559000.0,-38895000.0,-30930000.0
Investments,101777000.0,0.0,96675000.0,31238000.0,0.0,0.0,0.0
Net Debt,-166264000.0,-18349000.0,-77513000.0,-111280000.0,3536000.0,-5988000.0,1341000.0
Other Assets,1377000.0,606000.0,1876000.0,1086000.0,52000.0,66000.0,45000.0
Other Liabilities,0.0,0.0,5450000.0,2508000.0,1472000.0,1579000.0,665000.0
