Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,45190000.0,49381000.0,17879000.0,40623000.0,121789000.0,90204000.0,28821000.0,17452000.0,22460000.0,99477000.0
Short-term investments,0.0,0.0,0.0,37000000.0,,,,,,
Cash and short-term investments,45190000.0,49381000.0,17879000.0,77623000.0,,,,,,
Receivables,172359000.0,170985000.0,111722000.0,106164000.0,86767000.0,76931000.0,76591000.0,85865000.0,81841000.0,80163000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,313484000.0,265213000.0,151609000.0,175880000.0,,,,,,
Property, Plant & Equipment Net,9388234000.0,9553050000.0,4105807000.0,3808319000.0,3809345000.0,3540507000.0,3570090000.0,3697175000.0,3716868000.0,3637827000.0
Goodwill and Intangible Assets,387069000.0,478826000.0,118831000.0,105380000.0,52365000.0,44805000.0,42459000.0,27054000.0,18219000.0,10007000.0
Long-term investments,504288000.0,427940000.0,332707000.0,306206000.0,,,,,,
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,,,,,,,,,,
Total assets,10944663000.0,11145717000.0,4488906000.0,4182881000.0,4197170000.0,3913516000.0,3853458000.0,3987071000.0,3994539000.0,3973806000.0
Payables,224807000.0,234272000.0,138936000.0,164515000.0,181197000.0,147045000.0,127185000.0,101899000.0,138196000.0,99145000.0
Short-term debt,22734000.0,122867000.0,91618000.0,0.0,,,,,,
Total current liabilities,198965000.0,172768000.0,110142000.0,115344000.0,,,,,,
Long-term debt,3692000000.0,3472000000.0,1605000000.0,1864000000.0,,,,,,
Total debt,3715212000.0,3594977000.0,1642420000.0,1864285000.0,2021357000.0,1854697000.0,1941891000.0,1982440000.0,2094469000.0,1914743000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,57750000.0,46013000.0,28868000.0,29427000.0,25991000.0,23911000.0,18146000.0,20416000.0,10790000.0,10628000.0
Total non-current liabilities,,,,,,,,,,
Total liabilities,4494495000.0,4412663000.0,1864404000.0,2100261000.0,2260688000.0,2052382000.0,2107547000.0,2117417000.0,2250137000.0,2030412000.0
Other comprehensive income,-927000.0,-6289000.0,-18346000.0,-58693000.0,-57748000.0,-17404000.0,-57715000.0,-71429000.0,-80885000.0,-49973000.0
Retained earnings (deficit),-1255465000.0,-1158170000.0,-994259000.0,-936020000.0,-882372000.0,-874916000.0,-834810000.0,-662735000.0,-533194000.0,-373345000.0
Total shareholders equity,6397970000.0,6692052000.0,2591301000.0,2054109000.0,1906592000.0,1843354000.0,1730765000.0,1808355000.0,1685177000.0,1875167000.0
Investments,463001000.0,386304000.0,0.0,29093000.0,40266000.0,38641000.0,47180000.0,57497000.0,56822000.0,37753000.0
Net Debt,3669544000.0,,,,,,,,,
Other Assets,95935000.0,,,,,,,,,
Other Liabilities,-48576000.0,-184371000.0,-120412000.0,-49171000.0,,,,,,
