Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,1734255.0,1566739.0,1361260.0,1257220.0,
Stock-based compensation,0.0,0.0,0.0,0.0,
Operating Cash Flow,-903883.0,2534918.0,3937956.0,1858327.0,-1478844.0
Capital Expenditure,-9275685.0,-4639003.0,-9372067.0,-2691688.0,-2954700.0
Acquisitions and disposals,-2269500.0,0.0,-565000.0,0.0,
Investment purchases and sales,0.0,-2735000.0,0.0,0.0,
Investing Cash flow,-11545185.0,-7374003.0,-9301237.0,-5163388.0,-2954700.0
Issuance (repayment) of debt,3456116.0,-3871151.0,3632461.0,-1031138.0,5292604.0
Issuance (buybacks) of shares,0.0,19700000.0,0.0,0.0,7657500.0
Dividend payments,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,3456116.0,13999046.0,6743544.0,1721122.0,5292604.0
Effect of forex changes on cash,-306922.0,-121912.0,-241896.0,85022.0,
Net cash flow / Change in cash,-9299874.0,9038046.0,1138367.0,-1498917.0,
Free Cash Flow,-10179568.0,-2104085.0,-5434111.0,-833361.0,
Net Cash/Marketcap,-0.24,-0.0214,-0.0214,-0.0214,
