date,,2021-06-30_FY,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-113331000.0,-171362000.0,-14226000.0,8701000.0,-16140000.0,-11316000.0,-33842000.0,-135727000.0,29194000.0,-114093000.0,-8905000.0,42740000.0,-124466000.0,85204000.0,83170000.0,109578000.0,64631000.0,105478000.0,86675000.0,72054000.0,53088000.0,49654000.0,30300000.0,30500000.0,6600000.0,19100000.0,14700000.0,4100000.0,3900000.0,4400000.0,-3200000.0
,depreciationAndAmortization,17871000.0,33101000.0,33261000.0,43171000.0,54961000.0,56992000.0,68259000.0,81406000.0,84018000.0,111435000.0,98428000.0,102336000.0,115016000.0,119977000.0,117327000.0,107470000.0,91753000.0,75547000.0,67399000.0,59732000.0,64918000.0,54117000.0,44100000.0,35700000.0,32100000.0,18800000.0,15300000.0,14300000.0,12900000.0,10700000.0,10500000.0
,deferredIncomeTax,-3388000.0,-3934000.0,-9812000.0,-75863000.0,7962000.0,7023000.0,11154000.0,68781000.0,10322000.0,-14171000.0,-14711000.0,5115000.0,-3843000.0,-3789000.0,-6243000.0,7409000.0,-9257000.0,16071000.0,3475000.0,11890000.0,3249000.0,-1003000.0,-1100000.0,7300000.0,1100000.0,200000.0,-1000000.0,-900000.0,-1200000.0,1500000.0,-600000.0
,stockBasedCompensation,3254000.0,3275000.0,9003000.0,8269000.0,13142000.0,9797000.0,8647000.0,6400000.0,5881000.0,7597000.0,9596000.0,9337000.0,7525000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-32567000.0,-93121000.0,-52152000.0,-57394000.0,29386000.0,-48917000.0,-16938000.0,116820000.0,-20970000.0,40822000.0,-66874000.0,80256000.0,140871000.0,-48803000.0,-52379000.0,-79788000.0,7118000.0,30886000.0,-16802000.0,36665000.0,19972000.0,27660000.0,15000000.0,13100000.0,-7500000.0,2500000.0,-5500000.0,9600000.0,-6200000.0,3000000.0,5000000.0
,accountsReceivables,-279000.0,-3902000.0,-17304000.0,-12081000.0,724000.0,-577000.0,446000.0,5681000.0,-4332000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,17879000.0,-2255000.0,-8492000.0,13940000.0,4010000.0,-7109000.0,6197000.0,2555000.0,-10745000.0,2644000.0,4629000.0,4823000.0,7128000.0,-5232000.0,2709000.0,-6068000.0,-17974000.0,-462000.0,-31145000.0,-7759000.0,-16724000.0,-20350000.0,-10000000.0,-10800000.0,0.0,0.0,-1700000.0,0.0,-2600000.0,0.0,-800000.0
,accountsPayables,-21669000.0,4588000.0,-5836000.0,-1103000.0,-684000.0,-4624000.0,-3261000.0,1907000.0,19086000.0,-4856000.0,-2973000.0,-4966000.0,-3613000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,-10582000.0,82539000.0,134691000.0,192085000.0,162699000.0,211616000.0,228554000.0,111734000.0,132704000.0,91882000.0,158756000.0,78500000.0,-62371000.0,-13568000.0,38811000.0,118599000.0,111481000.0,80595000.0,97397000.0,60732000.0,40760000.0,13100000.0,-1900000.0,-15000000.0,-7500000.0,-10000000.0,-4500000.0,-14100000.0,-7900000.0,-10900000.0
,otherNonCashItems,1488000.0,-1239000.0,20686000.0,40778000.0,2338000.0,1824000.0,1979000.0,8376000.0,-26102000.0,-114867000.0,23900000.0,-3153000.0,-3405000.0,13877000.0,33019000.0,13405000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-23600000.0,-1200000.0,1700000.0,0.0,0.0,700000.0,-100000.0
,netCashProvidedByOperatingActivites,-99883000.0,-86409000.0,-17524000.0,2328000.0,60055000.0,55032000.0,93962000.0,117403000.0,69148000.0,153700000.0,229178000.0,192223000.0,188064000.0,222383000.0,241860000.0,281685000.0,215731000.0,205664000.0,149623000.0,152039000.0,110309000.0,85384000.0,72200000.0,67700000.0,34900000.0,36900000.0,30700000.0,23100000.0,18900000.0,6600000.0,12100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2587000.0,-17990000.0,-3664000.0,0.0,-85799000.0,-90079000.0,-119914000.0,-101097000.0,-74076000.0,-77460000.0,-66232000.0,-125389000.0,-147730000.0,-117300000.0,-80400000.0,-39400000.0,-26100000.0,-15300000.0,-15800000.0,-19300000.0,-13200000.0,-13800000.0
,acquisitionsNet,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3000000.0,-18000000.0,-4000000.0,-40000000.0,-133000000.0,-69000000.0,-155000000.0,-329000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15000000.0,-72301000.0,0.0,-20971000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,5056000.0,131581000.0,11995000.0,16804000.0,16099000.0,19008000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
