date,,2021-01-31_FY,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-31_FY,2011-01-31_FY,2010-01-31_FY,2008-01-31_FY,2007-01-31_FY,2006-01-31_FY,2005-01-31_FY,2004-01-31_FY,2003-01-31_FY,2002-01-31_FY,2001-01-31_FY,2000-01-31_FY,1999-01-31_FY,1998-01-31_FY
,revenue,2848626000.0,2848626000.0,2647437000.0,2505653000.0,2440174000.0,2134871000.0,2109006000.0,1867422000.0,1551000000.0,1193000000.0,958084000.0,772752000.0,625685000.0,722243000.0,712810000.0,581657000.0,525823000.0,438508000.0,400337000.0,366473000.0,369462000.0,294916000.0,209375000.0,98655000.0
,costOfRevenue,1523095000.0,1523095000.0,1552426000.0,1520076000.0,1600876000.0,1455084000.0,1356314000.0,1176648000.0,994100000.0,756600000.0,601735000.0,501132000.0,412629000.0,490935000.0,463105000.0,384244000.0,359808000.0,305980000.0,283072000.0,288337000.0,255923000.0,203239000.0,141397000.0,0.0
,grossProfit,1325531000.0,1325531000.0,1095011000.0,985577000.0,839298000.0,679787000.0,752692000.0,690774000.0,556900000.0,436400000.0,356349000.0,271620000.0,213056000.0,231308000.0,249705000.0,197413000.0,166015000.0,132528000.0,117265000.0,78136000.0,113539000.0,91677000.0,67978000.0,0.0
,grossProfitRatio,0.465322931125392,0.465322931125392,0.413611730892935,0.393341376479505,0.343950062577505,0.318420644619745,0.356894195654256,0.369907819443061,0.359058671824629,0.36580050293378,0.371939203660639,0.351496987390521,0.340516394032141,0.320263401652906,0.350310741992957,0.339397617496222,0.315724112486521,0.302224816879054,0.292915718507158,0.213210795884008,0.307309006068283,0.310858007025729,0.324671044776119,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,858673000.0,732180000.0,723841000.0,722183000.0,626751000.0,567131000.0,525048000.0,502000000.0,505500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,89557000.0,93649000.0,108077000.0,101150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,858673000.0,858673000.0,738652000.0,756844000.0,760763000.0,626751000.0,567131000.0,525048000.0,502000000.0,505500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,2381768000.0,2381768000.0,2291078000.0,2276920000.0,2361639000.0,2081835000.0,1923445000.0,1701696000.0,1496100000.0,1262100000.0,931241000.0,776991000.0,651518000.0,765389000.0,702182000.0,580713000.0,521747000.0,441098000.0,409362000.0,402944000.0,368570000.0,298270000.0,200210000.0,0.0
,interestExpense,0.0,-69250000.0,87177000.0,75074000.0,62570000.0,44482000.0,35677000.0,17551000.0,5733000.0,5776000.0,5134000.0,3150000.0,3241000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,100040000.0,100040000.0,100739000.0,91372000.0,83176000.0,56995000.0,44595000.0,34463000.0,27700000.0,26700000.0,29186000.0,31263000.0,43065000.0,23120000.0,21696000.0,19603000.0,15946000.0,18021000.0,18641000.0,20624000.0,15915000.0,10788000.0,6477000.0,0.0
