Date,2019-09-30,2018-09-30,2017-09-30,2016-09-30
Cash and cash equivalents,80619000.0,99137000.0,27547000.0,51085000.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,80619000.0,99137000.0,27547000.0,51085000.0
Receivables,12030000.0,0.0,125576000.0,110256000.0
Inventories,34291000.0,24556000.0,17487000.0,13245000.0
Total current assets,279966000.0,267455000.0,175130000.0,176928000.0
Property Plant & Equipment Net,205870000.0,178692000.0,115911000.0,104338000.0
Goodwill and Intangible Assets,41980000.0,36654000.0,33150000.0,32807000.0
Long-term investments,2124000.0,2561000.0,0.0,0.0
Tax assets,1173000.0,1580000.0,1876000.0,2012000.0
Total non-current assets,251803000.0,228855000.0,153420000.0,141354000.0
Total assets,531769000.0,496310000.0,328550000.0,318282000.0
Payables,70442000.0,63510000.0,52402000.0,40763000.0
Short-term debt,7538000.0,14773000.0,10000000.0,14861000.0
Total current liabilities,128173000.0,134541000.0,114546000.0,100043000.0
Long-term debt,42458000.0,48115000.0,47136000.0,46101000.0
Total debt,49996000.0,62888000.0,57136000.0,60962000.0
Deferred revenue,31115000.0,38738000.0,32108000.0,26888000.0
Tax Liabilities,0.0,0.0,9667000.0,8938000.0
Deposit Liabilities,0.0,0.0,0.0,0.0
Total non-current liabilities,60046000.0,62300000.0,61823000.0,61956000.0
Total liabilities,188219000.0,196841000.0,176369000.0,161999000.0
Other comprehensive income,227871000,226944000,0.0,0.0
Retained earnings (deficit),115646000.0,72525000.0,21734000.0,26987000.0
Total shareholders equity,343550000.0,299469000.0,152181000.0,156283000.0
Investments,2124000.0,2561000.0,0.0,0.0
Net Debt,-30623000.0,-36249000.0,29589000.0,9877000.0
Other Assets,0.0,0.0,4520000.0,2342000.0
Other Liabilities,0.0,0.0,52144000.0,44419000.0
