Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,280855000.0,279563000.0,272865000.0,282293000.0,262810000.0,197979000.0,178113000.0,169316000.0,166171000.0,164527000.0
Revenue Growth,0.0046,0.0245,-0.0334,0.0741,0.3275,0.1115,0.052,0.0189,0.01,0.122
Cost of Revenue,140732000.0,137042000.0,140516000.0,132551000.0,129013000.0,117874000.0,92896000.0,92102000.0,90168000.0,87034000.0
Gross Profit,140123000.0,142521000.0,132349000.0,149742000.0,133797000.0,80105000.0,85217000.0,77214000.0,76003000.0,77493000.0
R&D Expenses,14410000.0,13375000.0,16090000.0,15065000.0,15536000.0,15241000.0,12231000.0,9806000.0,9435000.0,8899000.0
SG&A Expense,119217000.0,115103000.0,116125000.0,107439000.0,107653000.0,81635000.0,58376000.0,55576000.0,59232000.0,59325000.0
Operating Expenses,142624000.0,147801000.0,148030000.0,125117000.0,128172000.0,108761000.0,72977000.0,65443000.0,203378000.0,68474000.0
Operating Income,-2501000.0,-5280000.0,-15681000.0,24625000.0,5625000.0,-28656000.0,12240000.0,11771000.0,-127375000.0,9019000.0
Interest Expense,2771000.0,3180000.0,1655000.0,1492000.0,1357000.0,542000.0,0.0,201000.0,537000.0,544000.0
Earnings before Tax,-5581000.0,25725000.0,-17460000.0,23214000.0,4189000.0,-28924000.0,12444000.0,11604000.0,-127794000.0,8455000.0
Income Tax Expense,-4331000.0,19453000.0,-3061000.0,8299000.0,1493000.0,-11110000.0,4042000.0,3226000.0,1605000.0,2600000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-1250000.0,6272000.0,-14399000.0,14915000.0,2696000.0,-17814000.0,8402000.0,8378000.0,-129399000.0,5855000.0
Preferred Dividends,2120000.0,3723000.0,3508000.0,3305000.0,3113000.0,1375000.0,0.0,0.0,0.0,0.0
Net Income Com,-3370000.0,2549000.0,-17907000.0,11610000.0,-417000.0,-19189000.0,8402000.0,8378000.0,-129399000.0,5855000.0
EPS,-0.05,0.04,-0.31,0.2,-0.01,-0.34,0.15,0.15,-2.36,0.11
EPS Diluted,-0.05,0.04,-0.31,0.2,-0.01,-0.34,0.15,0.15,-2.36,0.11
Weighted Average Shs Out,63461700.0,60832446.0,58425397.0,57787588.0,56897994.0,56387263.0,55957451.0,55192845.0,54806762.0,54550422.0
Weighted Average Shs Out (Dil),63521703.0,59684289.0,58236745.0,57611231.0,56735924.0,56258624.0,55861957.0,55150886.0,54729608.0,54349391.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.4989,0.5098,0.485,0.5304,0.5091,0.4046,0.4784,0.456,0.4574,0.471
EBITDA Margin,0.042,0.154,0.003,0.146,0.08,-0.082,0.115,0.117,-0.721,0.098
EBIT Margin,-0.01,0.1034,-0.0579,0.0875,0.0211,-0.1434,0.0699,0.0697,-0.7658,0.0547
Profit Margin,-0.012,0.009,-0.066,0.041,-0.002,-0.097,0.047,0.049,-0.779,0.036
Free Cash Flow margin,0.0204,-0.0287,-0.0001,-0.031,-0.033,-0.0983,0.0545,0.1265,0.1573,-0.0534
EBITDA,11759000.0,43131000.0,705000.0,41228000.0,20941000.0,-16180000.0,20437000.0,19831000.0,-119759000.0,16138000.0
EBIT,-2810000.0,28905000.0,-15805000.0,24706000.0,5546000.0,-28382000.0,12444000.0,11805000.0,-127257000.0,8999000.0
Consolidated Income,-1250000.0,6272000.0,-14399000.0,14915000.0,2696000.0,-17814000.0,8402000.0,8378000.0,-129399000.0,5855000.0
Earnings Before Tax Margin,-0.0199,0.092,-0.064,0.0822,0.0159,-0.1461,0.0699,0.0685,-0.7691,0.0514
Net Profit Margin,-0.0045,0.0224,-0.0528,0.0528,0.0103,-0.09,0.0472,0.0495,-0.7787,0.0356
