Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,7812259.0,22631971.0,7046282.0,15819566.0,2747248.0
Short-term investments,6988780.0,0.0,0.0,0.0,0.0
Cash and short-term investments,14801039.0,22631971.0,7046282.0,15819566.0,2747248.0
Receivables,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0
Total current assets,15277017.0,22799371.0,7203034.0,16008702.0,2804363.0
Property, Plant & Equipment Net,20160.0,23873.0,23542.0,20688.0,5172.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0
Total non-current assets,42885.0,34199.0,33868.0,31014.0,158957.0
Total assets,15319902.0,22833570.0,7236902.0,16039716.0,2963320.0
Payables,4512316.0,2237579.0,1896368.0,739357.0,1083597.0
Short-term debt,0.0,0.0,0.0,0.0,0.0
Total current liabilities,5933518.0,2707588.0,3133839.0,1354721.0,1254750.0
Long-term debt,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,0.0,0.0,0.0,16203612.0
Total liabilities,5933518.0,2707588.0,3133839.0,1354721.0,17458362.0
Other comprehensive income,-923.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-70200145.0,-53331434.0,-45467576.0,-27082942.0,-17904319.0
Total shareholders equity,9386384.0,20125982.0,4103063.0,14684995.0,-14495042.0
Investments,6988780.0,0.0,0.0,0.0,0.0
Net Debt,-14801039.0,-22631971.0,-7046282.0,-15819566.0,-2747248.0
Other Assets,475978.0,167400.0,156752.0,189136.0,57115.0
Other Liabilities,1421202.0,470009.0,1237471.0,615364.0,171153.0
