Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,108966000.0,96235000.0,326655000.0,101303000.0,65977000.0,0.0,0.0,0.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,108966000.0,96235000.0,326655000.0,101303000.0,65977000.0,0.0,0.0,0.0
Receivables,199284000.0,181298000.0,37626000.0,68892000.0,69263000.0,71097000.0,77476000.0,83455000.0
Inventories,304028000.0,302086000.0,118368000.0,125409000.0,140209000.0,128706000.0,116991000.0,104873000.0
Total current assets,716092000.0,646537000.0,519508000.0,327753000.0,311716000.0,246055000.0,218620000.0,210477000.0
Property, Plant & Equipment Net,1363557000.0,1407762000.0,801039000.0,803838000.0,843375000.0,846288000.0,680746000.0,433481000.0
Goodwill and Intangible Assets,52460000.0,59869000.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,375471000.0,402846000.0,51246000.0,97420000.0,86822000.0,22532000.0,3648000.0,4600000.0
Total non-current assets,1962994000.0,1996074000.0,902431000.0,950859000.0,992164000.0,874211000.0,701981000.0,454687000.0
Total assets,2679086000.0,2642611000.0,1421939000.0,1278612000.0,1303880000.0,1120266000.0,920601000.0,665164000.0
Payables,181705000.0,157925000.0,36379000.0,44992000.0,64697000.0,54198000.0,65944000.0,71447000.0
Short-term debt,15012000.0,9425000.0,9593000.0,7938000.0,8400000.0,0.0,0.0,0.0
Total current liabilities,370418000.0,307571000.0,126979000.0,131444000.0,131445000.0,79846000.0,95719000.0,93814000.0
Long-term debt,1173157000.0,1232179000.0,773689000.0,850116000.0,936416000.0,0.0,0.0,0.0
Total debt,1188169000.0,1241604000.0,783282000.0,858054000.0,944816000.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,28016000.0,32607000.0,0.0,0.0,0.0,51091000.0,55502000.0,51132000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1601797000.0,1641284000.0,1083211000.0,1164307000.0,1234847000.0,72119000.0,100178000.0,97414000.0
Total liabilities,1972215000.0,1948855000.0,1210190000.0,1295751000.0,1366292000.0,151965000.0,195897000.0,191228000.0
Other comprehensive income,-155697000.0,-76151000.0,-110080000.0,-109620000.0,-103444000.0,-39699000.0,-64670000.0,-65076000.0
Retained earnings (deficit),462568000.0,377020000.0,78977000.0,21839000.0,-21476000.0,1415894000.0,1196127000.0,954031000.0
Total shareholders equity,706871000.0,693756000.0,211749000.0,-17139000.0,-62412000.0,968301000.0,724704000.0,473936000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,1079203000.0,1145369000.0,456627000.0,756751000.0,878839000.0,0.0,0.0,0.0
Other Assets,103814000.0,66918000.0,36859000.0,32149000.0,36267000.0,46252000.0,24153000.0,22149000.0
Other Liabilities,173701000.0,140221000.0,81007000.0,78514000.0,58348000.0,25648000.0,29775000.0,22367000.0
