Date,2018-12,2017-12,2016-12,2015-12,2014-12
Depreciation & Amortization,199000000.0,113000000.0,68000000.0,63000000.0,43000000.0
Stock-based compensation,8000000.0,8000000.0,7000000.0,6000000.0,10000000.0
Operating Cash Flow,359000000.0,133000000.0,177000000.0,121000000.0,85000000.0
Capital Expenditure,,,,,
Acquisitions and disposals,,,,,
Investment purchases and sales,-5000000,-3000000,-7000000,-13000000,0
Investing Cash flow,-258000000.0,-240000000.0,142000000.0,-489000000.0,-826000000.0
Issuance (repayment) of debt,-157000000.0,-4000000.0,-244000000.0,-3000000.0,-300000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,-627000000.0,599000000.0,-301000000.0,314000000.0,799000000.0
Effect of forex changes on cash,-1000000.0,1000000.0,0000000.0,-0000000.0,000000.0
Net cash flow / Change in cash,-528000000.0,493000000.0,18000000.0,-54000000.0,57000000.0
Free Cash Flow,359000000.0,133000000.0,177000000.0,121000000.0,85000000.0
Net Cash/Marketcap,,,,,
