Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,194000000.0,116000000.0,77000000.0,50000000.0,36459000.0,55055000.0,47651000.0,71510000.0,41124000.0,61857000.0
Short-term investments,1550000000.0,1576000000.0,1277000000.0,1254000000.0,490566000.0,100484000.0,115719000.0,115522000.0,332205000.0,407351000.0
Cash and short-term investments,194000000.0,1692000000.0,1354000000.0,1304000000.0,527025000.0,155539000.0,163370000.0,187032000.0,373329000.0,469208000.0
Receivables,392000000.0,299000000.0,269000000.0,330000000.0,328015000.0,419598000.0,367321000.0,280279000.0,450053000.0,270647000.0
Inventories,815000000.0,780000000.0,762000000.0,739000000.0,736302000.0,698998000.0,756864000.0,644930000.0,533761000.0,498587000.0
Total current assets,3027000000.0,3128000000.0,2848000000.0,2664000000.0,2052992000.0,1853949000.0,1782763000.0,1632042000.0,1485412000.0,1425302000.0
Property Plant & Equipment Net,1160000000.0,1077000000.0,1006000000.0,831000000.0,846757000.0,863573000.0,843879000.0,796822000.0,701131000.0,691343000.0
Goodwill and Intangible Assets,236000000.0,22000000.0,22000000.0,15000000.0,18718000.0,62215000.0,63061000.0,60124000.0,60374000.0,61304000.0
Long-term investments,8000000.0,851000000.0,773000000.0,671000000.0,523063000.0,180386000.0,202931000.0,110903000.0,331322000.0,82232000.0
Tax assets,39000000.0,51000000.0,48000000.0,33000000.0,45647000.0,23449000.0,24586000.0,23203000.0,18393000.0,10490000.0
Total non-current assets,2280000000.0,2033000000.0,1907000000.0,1767000000.0,1624328000.0,1564099000.0,1565018000.0,1374686000.0,1248674000.0,911831000.0
Total assets,5307000000.0,5161000000.0,4755000000.0,4431000000.0,3677320000.0,3418048000.0,3347781000.0,3006728000.0,2734086000.0,2337133000.0
Payables,218000000.0,256000000.0,194000000.0,200000000.0,181686000.0,175916000.0,217041000.0,151869000.0,146265000.0,141193000.0
Short-term debt,39000000.0,53000000.0,17000000.0,4000000.0,92795000.0,11697000.0,25138000.0,40885000.0,80426000.0,83599000.0
Total current liabilities,784000000.0,818000000.0,785000000.0,766000000.0,634832000.0,615327000.0,676575000.0,561409000.0,638195000.0,518040000.0
Long-term debt,739000000.0,482000000.0,499000000.0,518000000.0,243620000.0,80480000.0,120825000.0,116367000.0,91407000.0,76532000.0
Total debt,778000000.0,535000000.0,516000000.0,522000000.0,336415000.0,92177000.0,145963000.0,157252000.0,171833000.0,160131000.0
Deferred revenue,39000000.0,47000000.0,66000000.0,47000000.0,51158000.0,43953000.0,53811000.0,29147000.0,161063000.0,112889000.0
Tax Liabilities,14000000.0,1000000.0,6000000.0,4000000.0,4673000.0,2974000.0,14381000.0,2604000.0,75695000.0,59546000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1194000000.0,935000000.0,795000000.0,783000000.0,322215000.0,322751000.0,363017000.0,365852000.0,317642000.0,273674000.0
Total liabilities,1989000000.0,1764000000.0,1593000000.0,1555000000.0,961422000.0,942799000.0,1043231000.0,927804000.0,955837000.0,791714000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123907000.0,-114786000.0
Retained earnings (deficit),3727000000.0,3750000000.0,3465000000.0,3153000000.0,2967364000.0,2655857000.0,2474896000.0,2233778000.0,1897897000.0,1655222000.0
Total shareholders equity,3318000000.0,3397000000.0,3162000000.0,2876000000.0,2715898000.0,2475249000.0,2304550000.0,2078924000.0,1775206000.0,1541673000.0
Investments,1558000000.0,2427000000.0,2050000000.0,1925000000.0,1013629000.0,280870000.0,318650000.0,226425000.0,663527000.0,489583000.0
Net Debt,584000000.0,419000000.0,439000000.0,472000000.0,299956000.0,37122000.0,98312000.0,85742000.0,-201496000.0,-309077000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128269000.0,186860000.0
Other Liabilities,11000000.0,11000000.0,13000000.0,6000000.0,4375000.0,4721000.0,3639000.0,543000.0,411504000.0,293248000.0
