Date,2016-12,2015-12,2014-12,2013-12,2012-12
Depreciation & Amortization,220000000.0,282000000.0,368000000.0,351000000.0,344000000.0
Stock-based compensation,8000000.0,12000000.0,11000000.0,10000000.0,9000000.0
Operating Cash Flow,79000000.0,247000000.0,401000000.0,594000000.0,510000000.0
Capital Expenditure,-239000000.0,-524000000.0,-937000000.0,-670000000.0,-569000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,0,0,0,0,0
Investing Cash flow,-238000000.0,-321000000.0,-873000000.0,-623000000.0,-569000000.0
Issuance (repayment) of debt,-136000000.0,-5000000.0,000000.0,-396000000.0,-271000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,339000000.0,10000000.0,215000000.0,81000000.0,300000000.0
Effect of forex changes on cash,-0000000.0,-0000000.0,-1000000.0,-0000000.0,000000.0
Net cash flow / Change in cash,180000000.0,-64000000.0,-257000000.0,52000000.0,241000000.0
Free Cash Flow,-161000000.0,-276000000.0,-536000000.0,-76000000.0,-59000000.0
Net Cash/Marketcap,,,,,
