Date,2019-09-30,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30
Cash and cash equivalents,341000.0,1252000.0,1399000.0,471000.0,667000.0,4596000.0,4508000.0,7176000.0,6431000.0,18671000.0,19875000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3020000.0,0.0
Cash and short-term investments,341000.0,1252000.0,1399000.0,471000.0,667000.0,4596000.0,4508000.0,7176000.0,6431000.0,21691000.0,19875000.0
Receivables,10349000.0,0.0,0.0,0.0,84000.0,0.0,0.0,0.0,0.0,17182000.0,17010000.0
Inventories,10509000.0,18269000.0,20381000.0,28496000.0,27943000.0,18919000.0,18340000.0,18692000.0,10239000.0,6272000.0,7568000.0
Total current assets,49458000.0,49583000.0,52134000.0,58075000.0,71535000.0,52901000.0,52472000.0,51906000.0,39658000.0,47966000.0,18176000.0
Property Plant & Equipment Net,39610000.0,35390000.0,39508000.0,48958000.0,54865000.0,37148000.0,29632000.0,32259000.0,27558000.0,20749000.0,16940000.0
Goodwill and Intangible Assets,6813000.0,17096000.0,18984000.0,22886000.0,29745000.0,19148000.0,21271000.0,21642000.0,11999000.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,141000.0,126000.0,292000.0,0.0,2785000.0,791000.0,987000.0,1461000.0,1500000.0,2194000.0,2540000.0
Total non-current assets,46641000.0,52654000.0,58753000.0,72382000.0,85154000.0,56796000.0,53293000.0,54639000.0,40353000.0,21684000.0,8471000.0
Total assets,96099000.0,102237000.0,110887000.0,130457000.0,156689000.0,109697000.0,105765000.0,106545000.0,80011000.0,69650000.0,65770000.0
Payables,19799000.0,15513000.0,12817000.0,14520000.0,14201000.0,10526000.0,6773000.0,0.0,9778000.0,7939000.0,7629000.0
Short-term debt,5786000.0,5944000.0,7560000.0,31009000.0,10503000.0,2000000.0,4392000.0,0.0,30000.0,108000.0,101000.0
Total current liabilities,46684000.0,47817000.0,45725000.0,50763000.0,33150000.0,19154000.0,19921000.0,0.0,14434000.0,12334000.0,12054000.0
Long-term debt,2052000.0,2332000.0,5151000.0,7623000.0,38426000.0,8429000.0,7381000.0,19683000.0,1186000.0,35000.0,154000.0
Total debt,7838000.0,8276000.0,12711000.0,38632000.0,48929000.0,10429000.0,11773000.0,19683000.0,1216000.0,143000.0,255000.0
Deferred revenue,382000.0,0.0,0.0,0.0,312000.0,191000.0,1296000.0,0.0,0.0,0.0,0.0
Tax Liabilities,22000.0,72000.0,901000.0,69000.0,105000.0,56000.0,177000.0,0.0,0.0,2359000.0,2110000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,3833000.0,4892000.0,8847000.0,10983000.0,43727000.0,9592000.0,13831000.0,29721000.0,12168000.0,9277000.0,8471000.0
Total liabilities,60045000.0,58048000.0,60756000.0,70087000.0,83620000.0,33077000.0,33752000.0,46403000.0,26602000.0,21611000.0,20525000.0
Other comprehensive income,10438000,10031000,9519000,9219000,9778000,9102000,7599000,7523000,6654000,-11310000.0,-9703000.0
Retained earnings (deficit),33148000.0,37097000.0,44267000.0,58476000.0,69811000.0,72683000.0,68750000.0,59597000.0,54122000.0,47733000.0,43160000.0
Total shareholders equity,36054000.0,44189000.0,50131000.0,60370000.0,73069000.0,76620000.0,72013000.0,60142000.0,53409000.0,48039000.0,45245000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3020000.0,0.0
Net Debt,7497000.0,7024000.0,11312000.0,38161000.0,48262000.0,5833000.0,7265000.0,12507000.0,-5215000.0,-21548000.0,-19620000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2821000.0,3141000.0
Other Liabilities,9528000.0,5339000.0,6184000.0,8341000.0,6743000.0,4331000.0,0.0,16682000.0,0.0,4287000.0,4324000.0
