date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,revenue,1052744000.0,1238995000.0,1227392000.0,1511473000.0,1863981000.0,1662829000.0,1519978000.0,1469077000.0,1400255000.0,1263428000.0,1101246000.0,1010659000.0,1116861000.0,1054523000.0,552277000.0,440182000.0,348988000.0,308957000.0,246155000.0,257685000.0,230323000.0,206017000.0,136972000.0,32931000.0
,costOfRevenue,388558000.0,458628000.0,448663000.0,570918000.0,594508000.0,567160000.0,532433000.0,552272000.0,546655000.0,444885000.0,398634000.0,359282000.0,229712000.0,32389000.0,20150000.0,19598000.0,16179000.0,13562000.0,12637000.0,12579000.0,12660000.0,12754000.0,11082000.0,0.0
,grossProfit,664186000.0,780367000.0,778729000.0,940555000.0,1269473000.0,1095669000.0,987545000.0,916805000.0,853600000.0,818543000.0,702612000.0,651377000.0,887149000.0,1022134000.0,532127000.0,420584000.0,332809000.0,295395000.0,233518000.0,245106000.0,217663000.0,193263000.0,125890000.0,0.0
,grossProfitRatio,0.630909318884743,0.629838699914043,0.634458265981854,0.622277076732432,0.681054688862172,0.658918626028293,0.649710061592997,0.624068717977342,0.609603250836455,0.647874671132823,0.638015484278717,0.644507197778875,0.794323555035049,0.969285639099384,0.963514685565396,0.955477507031183,0.953640239779018,0.956103923847008,0.948662428144868,0.951184585831539,0.945033713524051,0.938092487513166,0.919092953304325,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118583000.0,119012000.0,105818000.0,152380000.0,0.0,65741000.0,44215000.0,30279000.0,17131000.0,13282000.0,15374000.0,11561000.0,22000.0,5760000.0,3137000.0
,SellingAndMarketingExpenses,0.0,100875000.0,92631000.0,100498000.0,99759000.0,94873000.0,92488000.0,86192000.0,82840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10900000.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,40078000.0,67446000.0,-2305000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,465948000.0,380280000.0,599681000.0,682338000.0,931187000.0,674986000.0,464098000.0,423884000.0,414868000.0,410046000.0,357833000.0,490820000.0,503570000.0,644895000.0,346367000.0,274080000.0,217333000.0,189397000.0,139499000.0,142814000.0,127566000.0,116794000.0,80174000.0,20765000.0
,costAndExpenses,854506000.0,838908000.0,1048344000.0,1253256000.0,1525695000.0,1242146000.0,996531000.0,976156000.0,961523000.0,854931000.0,756467000.0,850102000.0,733282000.0,677284000.0,366517000.0,293678000.0,233512000.0,202959000.0,152136000.0,155393000.0,140226000.0,129548000.0,91256000.0,20765000.0
,interestExpense,0.0,194645000.0,210626000.0,258629000.0,323995000.0,326818000.0,319898000.0,332276000.0,332188000.0,287921000.0,235793000.0,236300000.0,281766000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,313668000.0,272358000.0,279507000.0,403320000.0,821041000.0,560887000.0,371610000.0,337692000.0,332028000.0,277345000.0,228893000.0,234492000.0,224060000.0,198302000.0,79510000.0,65108000.0,52149000.0,47282000.0,39063000.0,38336000.0,32511000.0,27260000.0,15404000.0,3626000.0
,EBITDA,511906000.0,672445000.0,458555000.0,661537000.0,1159327000.0,981570000.0,895057000.0,830613000.0,770760000.0,685842000.0,573672000.0,395049000.0,607639000.0,575541000.0,265270000.0,211612000.0,167625000.0,153280000.0,133082000.0,140628000.0,122608000.0,103729000.0,61120000.0,15792000.0
,EBITDARatio,0.486258767563624,0.542734232180114,0.373601098915424,0.437677021025185,0.621962884814813,0.590301227606687,0.588861812473602,0.565397865462464,0.550442597955372,0.542842172248834,0.52092992846285,0.390882582552572,0.544059645739264,0.545783259350436,0.480320563775062,0.480737513119573,0.480317374809449,0.496120819402053,0.540643090735512,0.545736073112521,0.532330683431529,0.503497284204702,0.446222585637941,0.479548146123713
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,198238000.0,400087000.0,179048000.0,258217000.0,338286000.0,420683000.0,523447000.0,492921000.0,438732000.0,408497000.0,344779000.0,160557000.0,383579000.0,377239000.0,185760000.0,146504000.0,115476000.0,105998000.0,94019000.0,102292000.0,90097000.0,76469000.0,45716000.0,12166000.0
,operatingIncomeRatio,0.188305988920383,0.3229125218423,0.145876785900511,0.170837983874009,0.181485755487851,0.252992340162458,0.344378010734366,0.335531085164358,0.313322930466236,0.323324320816065,0.313080819362795,0.158863672118885,0.343443812614103,0.357734255203538,0.336352953318715,0.33282596744074,0.330888168074547,0.343083341694799,0.381950397107514,0.396965287075305,0.391176738753837,0.371178106661101,0.333761644715708,0.369439130302754
,totalOtherIncomeExpensesNet,344993000.0,93574000.0,312885000.0,116395000.0,286388000.0,233445000.0,180059000.0,-11353000.0,105244000.0,502677000.0,167119000.0,148488000.0,-11855000.0,31509000.0,0.0,11550000.0,0.0,0.0,0.0,4956000.0,0.0,0.0,0.0,0.0
