Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,55172000.0,59121000.0,58228000.0,56741000.0,54952000.0,59724000.0,64991000.0,47626000.0,46421000.0,37350000.0
Stock-based compensation,16643000.0,14179000.0,13615000.0,12556000.0,10233000.0,7465000.0,9333000.0,6029000.0,7158000.0,8349000.0
Operating Cash Flow,538052000.0,641626000.0,467767000.0,447542000.0,386945000.0,604526000.0,472131000.0,645707000.0,923157000.0,424209000.0
Capital Expenditure,53159000.0,51106000.0,34317000.0,28381000.0,43518000.0,31569000.0,30485000.0,15944000.0,21281000.0,-32741000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,60251000.0
Investment purchases and sales,428027000.0,457796000.0,631039000.0,494387000.0,480805000.0,711134000.0,1348188000.0,1098925000.0,1172764000.0,484955000.0
Investing Cash flow,-1338049000.0,-1415541000.0,-1105595000.0,-2109273000.0,-1166774000.0,-27586000.0,818056000.0,2265937000.0,788119000.0,857427000.0
Issuance (repayment) of debt,-2230052000.0,-2250422000.0,-2263688000.0,-823899000.0,-400781000.0,-307571000.0,-491049000.0,-601415000.0,-678788000.0,-555467000.0
Issuance (buybacks) of shares,-175072000.0,-175079000.0,-263084000.0,-199221000.0,-88113000.0,-294456000.0,0.0,0.0,380093000.0,571188000.0
Dividend payments,-106224000.0,-54670000.0,-59425000.0,-55354000.0,-42805000.0,-36427000.0,-31462000.0,-31412000.0,-25502000.0,-29745000.0
Financing Cash Flow,1010628000.0,776588000.0,665911000.0,1543334000.0,795688000.0,-721940000.0,-1185980000.0,-2790242000.0,-1886737000.0,-1241481000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,1143564000.0,2673000.0,28083000.0,-118397000.0,15859000.0,-145000000.0,104207000.0,121402000.0,-175461000.0,40155000.0
Free Cash Flow,484893000.0,590520000.0,433450000.0,419161000.0,343427000.0,572957000.0,441646000.0,629763000.0,901876000.0,391468000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0894
