Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,25182000.0,18050000.0,16890000.0,27598000.0,23354000.0,28390000.0,30852000.0,22159000.0,18561000.0,23547000.0
Short-term investments,24467000.0,31183000.0,36519000.0,38136000.0,50439000.0,43967000.0,0.0,29743000.0,53007000.0,57777000.0
Cash and short-term investments,49649000.0,49233000.0,53409000.0,65734000.0,73793000.0,72357000.0,30852000.0,51902000.0,71568000.0,81324000.0
Receivables,12292000.0,11951000.0,9567000.0,10019000.0,14627000.0,13993000.0,9689000.0,10284000.0,5133000.0,3190000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,62940000.0,61986000.0,64187000.0,77227000.0,89823000.0,87672000.0,67398000.0,63254000.0,78318000.0,85766000.0
Property Plant & Equipment Net,703000.0,1133000.0,1706000.0,1989000.0,417000.0,461000.0,591000.0,461000.0,623000.0,447000.0
Goodwill and Intangible Assets,250000.0,250000.0,266000.0,1294000.0,16603000.0,17694000.0,19015000.0,19291000.0,11483000.0,11930000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111000.0,2667000.0,3444000.0
Tax assets,133000.0,171000.0,204000.0,216000.0,391000.0,457000.0,631000.0,0.0,0.0,0.0
Total non-current assets,1660000.0,2367000.0,3042000.0,4265000.0,18164000.0,19227000.0,20861000.0,21742000.0,15421000.0,16193000.0
Total assets,64600000.0,64353000.0,67229000.0,81492000.0,107987000.0,106899000.0,88259000.0,84996000.0,93739000.0,101959000.0
Payables,368000.0,504000.0,1085000.0,267000.0,1625000.0,860000.0,444000.0,1196000.0,536000.0,99000.0
Short-term debt,0.0,0.0,0.0,4135000.0,3029000.0,3359000.0,3969000.0,0.0,0.0,0.0
Total current liabilities,15904000.0,6997000.0,9314000.0,9354000.0,10065000.0,9699000.0,12640000.0,12086000.0,6933000.0,4615000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,4135000.0,3029000.0,3359000.0,3969000.0,0.0,0.0,0.0
Deferred revenue,1135000.0,2006000.0,2759000.0,2184000.0,2619000.0,3323000.0,6618000.0,4723000.0,1574000.0,726000.0
Tax Liabilities,2117000.0,2229000.0,2285000.0,2368000.0,2460000.0,2502000.0,3637000.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,556000.0,570000.0,352000.0,481000.0,997000.0,0.0,0.0,0.0
Total non-current liabilities,1343000.0,1270000.0,607000.0,792000.0,3503000.0,2820000.0,714000.0,1575000.0,749000.0,992000.0
Total liabilities,16704000.0,7895000.0,9921000.0,10146000.0,12266000.0,11503000.0,14096000.0,13661000.0,7682000.0,5607000.0
Other comprehensive income,263497000,262560000,262105000,260157000,257217000,253255000,242032000,233977000,-1331000.0,-1233000.0
Retained earnings (deficit),-213096000.0,-203996000.0,-202470000.0,-186514000.0,-159473000.0,-155990000.0,-166373000.0,-160949000.0,-142309000.0,-124242000.0
Total shareholders equity,47896000.0,56458000.0,57308000.0,71346000.0,95721000.0,95396000.0,74163000.0,71335000.0,86057000.0,96352000.0
Investments,24467000.0,31183000.0,36519000.0,38136000.0,50439000.0,43967000.0,0.0,30854000.0,55674000.0,61221000.0
Net Debt,-25182000.0,-18050000.0,-16890000.0,-23463000.0,-20325000.0,-25031000.0,-26883000.0,-22159000.0,-71568000.0,-81324000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617000.0,1252000.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,742000.0,0.0,6397000.0,4516000.0
