Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,866199000.0,824444000.0,695977000.0,644812000.0,660579000.0,659486000.0,612466000.0,765373000.0,635226000.0,475152000.0
Revenue Growth,0.0506,0.1846,0.0793,-0.0239,0.0017,0.0768,-0.1998,0.2049,0.3369,-0.3687
Cost of Revenue,609568000.0,576304000.0,500538000.0,467834000.0,469705000.0,453531000.0,427199000.0,618596000.0,489670000.0,387420000.0
Gross Profit,256631000.0,248140000.0,195439000.0,176978000.0,190874000.0,205955000.0,185267000.0,146777000.0,145556000.0,87732000.0
R&D Expenses,51074000.0,48877000.0,40212000.0,38792000.0,41609000.0,40372000.0,38945000.0,0.0,0.0,0.0
SG&A Expense,138553000.0,141893000.0,111145000.0,110371000.0,123630000.0,123180000.0,126417000.0,128306000.0,122032000.0,106228000.0
Operating Expenses,188891000.0,191411000.0,151210000.0,150991000.0,217262000.0,165009000.0,169968000.0,133307000.0,120752000.0,107121000.0
Operating Income,67740000.0,56729000.0,44229000.0,25987000.0,-26388000.0,40946000.0,15299000.0,13470000.0,24804000.0,-19389000.0
Interest Expense,4720000.0,5783000.0,6277000.0,6365000.0,16880000.0,18096000.0,19869000.0,17234000.0,21780000.0,21965000.0
Earnings before Tax,65058000.0,52712000.0,41072000.0,22227000.0,-48964000.0,17928000.0,5328000.0,75462000.0,12208000.0,-33661000.0
Income Tax Expense,11210000.0,7533000.0,-36389000.0,-547000.0,-1856000.0,2797000.0,-33000.0,26105000.0,678000.0,-1003000.0
Net Income - Non-Controlling int,0.0,-130000.0,-1887000.0,-2207000.0,-13483000.0,1377000.0,-1613000.0,-3820000.0,-184000.0,82000.0
Net Income - Discontinued ops,0.0,0.0,0.0,420000.0,9387000.0,4021000.0,-7525000.0,0.0,0.0,0.0
Net Income,53848000.0,45179000.0,77461000.0,22774000.0,-47108000.0,15131000.0,5361000.0,49357000.0,11530000.0,-32658000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,53848000.0,45179000.0,77461000.0,22774000.0,-47108000.0,15131000.0,5361000.0,49357000.0,11530000.0,-32658000.0
EPS,1.9,1.61,2.79,0.83,-1.75,0.57,0.2,2.04,0.48,-1.38
EPS Diluted,1.85,1.57,2.74,0.81,-1.75,0.56,0.2,2.0,0.47,-1.38
Weighted Average Shs Out,28484466.0,28171209.0,27842883.0,27911948.0,28220916.0,28483366.0,27915465.0,25575828.0,25974765.0,25294335.0
Weighted Average Shs Out (Dil),28402000.0,28082000.0,27764000.0,27338000.0,26924000.0,26671000.0,26377000.0,24181000.0,23946000.0,23626000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.2963,0.301,0.2808,0.2745,0.2889,0.3123,0.3025,0.1918,0.2291,0.1846
EBITDA Margin,0.107,0.097,0.097,0.074,-0.012,0.099,0.088,0.146,0.084,0.017
EBIT Margin,0.0806,0.071,0.068,0.0443,-0.0486,0.0546,0.0411,0.1211,0.0535,-0.0246
Profit Margin,0.062,0.055,0.111,0.035,-0.071,0.023,0.009,0.064,0.018,-0.069
Free Cash Flow margin,0.0599,0.0568,0.0596,0.0405,-0.0073,0.028,0.0812,-0.0281,-0.0073,0.0043
EBITDA,92564000.0,79985000.0,67347000.0,47556000.0,-7712000.0,65013000.0,53716000.0,111543000.0,53058000.0,8179000.0
EBIT,69778000.0,58495000.0,47349000.0,28592000.0,-32084000.0,36024000.0,25197000.0,92696000.0,33988000.0,-11696000.0
Consolidated Income,53848000.0,45049000.0,75574000.0,20567000.0,-60591000.0,16508000.0,3748000.0,45537000.0,11346000.0,-32576000.0
Earnings Before Tax Margin,0.0751,0.0639,0.059,0.0345,-0.0741,0.0272,0.0087,0.0986,0.0192,-0.0708
Net Profit Margin,0.0622,0.0548,0.1113,0.0353,-0.0713,0.0229,0.0088,0.0645,0.0182,-0.0687
