Date,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31
Cash and cash equivalents,220633000.0,201534000.0,282918000.0,248841000.0,167689000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,220633000.0,201534000.0,282918000.0,248841000.0,167689000.0
Receivables,564830000.0,528066000.0,483451000.0,471523000.0,325289000.0
Inventories,208243000.0,205731000.0,197837000.0,192792000.0,160818000.0
Total current assets,1053735000.0,989657000.0,1017802000.0,972525000.0,720432000.0
Property, Plant & Equipment Net,1031582000.0,1010524000.0,915908000.0,1064319000.0,493053000.0
Goodwill and Intangible Assets,2927542000.0,3160764000.0,2956190000.0,3279942000.0,860645000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,31629000.0
Total non-current assets,4019336000.0,4210677000.0,3906653000.0,4373891000.0,1376859000.0
Total assets,5073071000.0,5200334000.0,4924455000.0,5346416000.0,2097291000.0
Payables,152913000.0,135866000.0,133479000.0,139572000.0,99340000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0
Total current liabilities,465196000.0,398462000.0,381583000.0,400606000.0,283331000.0
Long-term debt,1183227000.0,1316001000.0,1478361000.0,1567796000.0,621075000.0
Total debt,1183227000.0,1316001000.0,1478361000.0,1567796000.0,621075000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,166498000.0,160350000.0,186445000.0,268507000.0,79059000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1422077000.0,1584572000.0,1732839000.0,1906918000.0,740314000.0
Total liabilities,1887273000.0,1983034000.0,2114422000.0,2307524000.0,1023645000.0
Other comprehensive income,-159778000.0,11685000.0,-240702000.0,-68159000.0,-66669000.0
Retained earnings (deficit),1339024000.0,1146223000.0,954155000.0,939459000.0,1193791000.0
Total shareholders equity,3177810000.0,3205960000.0,2798602000.0,3023034000.0,1071632000.0
Investments,0.0,0.0,0.0,0.0,0.0
Net Debt,962594000.0,1114467000.0,1195443000.0,1318955000.0,453386000.0
Other Assets,60029000.0,54326000.0,53596000.0,59369000.0,66636000.0
Other Liabilities,312283000.0,262596000.0,248104000.0,261034000.0,183991000.0
