Date,2018-12-31,2017-12-31,2016-12-25,2015-12-27,2014-12-28,2013-12-29,2012-12-30,2011-12-25,2010-12-30,2009-12-31
Depreciation & Amortization,98924000.0,76663000.0,34261000.0,34530000.0,35582000.0,28466000.0,26362000.0,0.0,29093000.0,30779000.0
Stock-based compensation,2131000.0,2576000.0,3618000.0,2807000.0,2315000.0,2685000.0,2072000.0,0.0,2373000.0,2380000.0
Operating Cash Flow,156116000.0,63710000.0,78491000.0,59349000.0,11627000.0,69252000.0,65761000.0,0.0,30578000.0,22327000.0
Capital Expenditure,77697000.0,70937000.0,39575000.0,39543000.0,112556000.0,67980000.0,23145000.0,0.0,-8907000.0,-7599000.0
Acquisitions and disposals,-0.0,-706733000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,445000.0,0.0
Investment purchases and sales,600000.0,-5014000.0,-20519000.0,22400000.0,-21790000.0,-7913000.0,1156000.0,0.0,14055000.0,-35965000.0
Investing Cash flow,-77097000.0,-777614000.0,-35038000.0,-34946000.0,-110435000.0,-67424000.0,-18532000.0,0.0,5146000.0,-43564000.0
Issuance (repayment) of debt,-7936000.0,-323177000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Issuance (buybacks) of shares,-47464000.0,-5014000.0,-20719000.0,19600000.0,-21790000.0,-8133000.0,0.0,0.0,2448000.0,0.0
Dividend payments,-28816000.0,-19473000.0,-18340000.0,-19082000.0,-19351000.0,-550000.0,-34878000.0,-0.0,-17108000.0,-17067000.0
Financing Cash Flow,-76338000.0,701107000.0,-37327000.0,-31348000.0,-33612000.0,-5566000.0,-33344000.0,0.0,-14660000.0,-17067000.0
Effect of forex changes on cash,-1577000.0,1371000.0,-376000.0,-3470000.0,-4430000.0,-325000.0,1684000.0,0.0,0.0,0.0
Net cash flow / Change in cash,1104000.0,-11426000.0,5750000.0,-10415000.0,-136850000.0,-4063000.0,15569000.0,0.0,21064000.0,-38304000.0
Free Cash Flow,78419000.0,-7227000.0,38916000.0,19806000.0,-100929000.0,1272000.0,42616000.0,0.0,21671000.0,14728000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2645,0.3443
