Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,145700000.0,120200000.0,134000000.0,123400000.0,139000000.0,233600000.0,239200000.0,127500000.0,40100000.0
Short-term investments,700000.0,4800000.0,25100000.0,11600000.0,51700000.0,19200000.0,0.0,0.0,0.0
Cash and short-term investments,145700000.0,120200000.0,134000000.0,123400000.0,139000000.0,233600000.0,239200000.0,127500000.0,40100000.0
Receivables,75400000.0,68500000.0,60700000.0,65200000.0,75400000.0,91500000.0,70000000.0,66200000.0,333600000.0
Inventories,110400000.0,111000000.0,92500000.0,122100000.0,139100000.0,135300000.0,160100000.0,219700000.0,106600000.0
Total current assets,335000000.0,311200000.0,316100000.0,326100000.0,408800000.0,481900000.0,471900000.0,414000000.0,192400000.0
Property Plant & Equipment Net,1471100000.0,1501300000.0,1542600000.0,1593400000.0,1466600000.0,1544100000.0,1396600000.0,1391800000.0,1180200000.0
Goodwill and Intangible Assets,233700000.0,76900000.0,76900000.0,71100000.0,22000000.0,25400000.0,0.0,0.0,3400000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41000000.0
Tax assets,700000.0,4800000.0,4600000.0,11600000.0,26400000.0,12600000.0,2600000.0,600000.0,1100000.0
Total non-current assets,1710300000.0,1748900000.0,1804800000.0,1929400000.0,1589300000.0,1762000000.0,1539100000.0,1527800000.0,1526000000.0
Total assets,2045300000.0,2060100000.0,2120900000.0,2255500000.0,1998100000.0,2243900000.0,2011000000.0,1941800000.0,1718400000.0
Payables,115000000.0,115500000.0,98600000.0,99900000.0,110900000.0,154300000.0,132900000.0,181900000.0,162200000.0
Short-term debt,3900000.0,2600000.0,4900000.0,1100000.0,0.0,41000000.0,3300000.0,3300000.0,888500000.0
Total current liabilities,171100000.0,178400000.0,172000000.0,165700000.0,209800000.0,283000000.0,247000000.0,281500000.0,1055700000.0
Long-term debt,834500000.0,861100000.0,849200000.0,997700000.0,651500000.0,648100000.0,720100000.0,723100000.0,0.0
Total debt,838400000.0,863700000.0,854100000.0,998800000.0,651500000.0,689100000.0,723400000.0,726400000.0,888500000.0
Deferred revenue,3000000.0,1700000.0,2500000.0,2100000.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,3900000.0,10600000.0,93600000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1106800000.0,1135000000.0,1220700000.0,1368800000.0,990300000.0,1043500000.0,1098300000.0,1003800000.0,233400000.0
Total liabilities,1582200000.0,1633900000.0,1809800000.0,1965600000.0,1566400000.0,1686500000.0,1436100000.0,1381900000.0,1289100000.0
Other comprehensive income,348100000,345500000,351400000,345400000,438600000,427000000,463300000,545700000,0.0
Retained earnings (deficit),127400000.0,100100000.0,-22000000.0,-36400000.0,13900000.0,143800000.0,118800000.0,20000000.0,0.0
Total shareholders equity,463100000.0,426200000.0,311100000.0,289900000.0,431700000.0,557400000.0,574900000.0,559900000.0,369500000.0
Investments,700000.0,4800000.0,25100000.0,11600000.0,51700000.0,19200000.0,0.0,0.0,41000000.0
Net Debt,692700000.0,743500000.0,720100000.0,875400000.0,512500000.0,455500000.0,484200000.0,598900000.0,848400000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-287900000.0
Other Liabilities,304300000.0,320500000.0,417100000.0,431100000.0,366300000.0,360000000.0,90800000.0,96600000.0,5000000.0
