Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,28430000000.0,24387000000.0,25847000000.0,22016000000.0,18273000000.0,18395000000.0,18143000000.0,18377000000.0,19379000000.0,19515000000.0
Stock-based compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,43602000000.0,38010000000.0,38442000000.0,35880000000.0,31338000000.0,34796000000.0,39176000000.0,34743000000.0,35222000000.0,34405000000.0
Capital Expenditure,-20758000000.0,-20647000000.0,-21516000000.0,-19218000000.0,-21199000000.0,-20944000000.0,-19465000000.0,-20110000000.0,-19530000000.0,-16554000000.0
Acquisitions and disposals,-41711000000.0,2158000000.0,-1581000000.0,-30676000000.0,4982000000.0,-2190000000.0,-16000000.0,-1067000000.0,-1076000000.0,-696000000.0
Investment purchases and sales,-185000000.0,449000000.0,672000000.0,1545000000.0,-1890000000.0,301000000.0,65000000.0,62000000.0,-100000000.0,55000000.0
Investing Cash flow,-63145000000.0,-18943000000.0,-23318000000.0,-49144000000.0,-18337000000.0,-23124000000.0,-19680000000.0,-21250000000.0,-21449000000.0,-17883000000.0
Issuance (repayment) of debt,-8789000000.0,36452000000.0,-683000000.0,23927000000.0,5617000000.0,9158000000.0,4754000000.0,-1291000000.0,-5467000000.0,-4401000000.0
Issuance (buybacks) of shares,136000000.0,-430000000.0,-366000000.0,-126000000.0,-1578000000.0,-12914000000.0,-12275000000.0,237000000.0,50000000.0,28000000.0
Dividend payments,-13410000000.0,-12038000000.0,-11797000000.0,-10200000000.0,-9552000000.0,-9696000000.0,-10241000000.0,-10172000000.0,-9916000000.0,-9670000000.0
Financing Cash Flow,-25989000000.0,25930000000.0,-14462000000.0,9782000000.0,-7737000000.0,-13201000000.0,-17673000000.0,-11649000000.0,-15849000000.0,-14508000000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-45532000000.0,44997000000.0,662000000.0,-3482000000.0,5264000000.0,-1529000000.0,1823000000.0,1844000000.0,-2076000000.0,2014000000.0
Free Cash Flow,22844000000.0,17363000000.0,16926000000.0,16662000000.0,10139000000.0,13852000000.0,19711000000.0,14633000000.0,15692000000.0,17851000000.0
Net Cash/Marketcap,-0.8247,-0.4812,-0.4456,-0.5717,-0.4203,-0.3857,-0.3393,-0.3428,-0.3728,-0.4132
