Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,997000.0,1081000.0,1331000.0,1426000.0,1445000.0,1741000.0,1758000.0,1608000.0,1549000.0,1757000.0
Stock-based compensation,629000.0,609000.0,611000.0,488000.0,499000.0,389000.0,463000.0,89000.0,544000.0,561000.0
Operating Cash Flow,5109000.0,5918000.0,4624000.0,5551000.0,6053000.0,2493000.0,8030000.0,2096000.0,2132000.0,8373000.0
Capital Expenditure,-1473000.0,-985000.0,-600000.0,-955000.0,-660000.0,-746000.0,-1102000.0,-1255000.0,-1097000.0,-643000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4000000.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-1473000.0,-985000.0,-600000.0,-955000.0,-660000.0,-746000.0,-1102000.0,-5255000.0,-1097000.0,-643000.0
Issuance (repayment) of debt,0.0,0.0,0.0,0.0,-8000.0,0.0,-7000.0,-31000.0,0.0,0.0
Issuance (buybacks) of shares,-1584000.0,685000.0,-3548000.0,-757000.0,-2621000.0,-4149000.0,-5766000.0,-1721000.0,216000.0,211000.0
Dividend payments,-2667000.0,-2581000.0,-2416000.0,-2485000.0,-2556000.0,-2317000.0,-526000.0,0.0,0.0,0.0
Financing Cash Flow,-4516000.0,-1919000.0,-5964000.0,-3242000.0,-5178000.0,-6334000.0,-6242000.0,-1254000.0,237000.0,290000.0
Effect of forex changes on cash,64000.0,-10000.0,-30000.0,-12000.0,-20000.0,-14000.0,-12000.0,-9000.0,-4000.0,-3000.0
Net cash flow / Change in cash,-816000.0,3004000.0,-1970000.0,1342000.0,195000.0,-4601000.0,674000.0,-4422000.0,1268000.0,8017000.0
Free Cash Flow,3636000.0,4933000.0,4024000.0,4596000.0,5393000.0,1747000.0,6928000.0,841000.0,1035000.0,7730000.0
Net Cash/Marketcap,0.0707,0.0564,0.0506,0.0671,0.0696,0.0284,0.1192,0.0953,0.1273,0.1549
