Date,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,567451000.0,576611000.0,600399000.0,576757000.0,481641000.0,209967000.0,237284000.0,238266000.0,150001000.0,54144000.0,93307000.0
Short-term investments,481883000.0,846009000.0,786361000.0,651869000.0,438556000.0,422428000.0,323216000.0,108795000.0,34693000.0,20974000.0,
Cash and short-term investments,1049334000.0,1422620000.0,1386760000.0,1228626000.0,920197000.0,632395000.0,560500000.0,258796000.0,88837000.0,114281000.0,
Receivables,285307000.0,329420000.0,470204000.0,509335000.0,473338000.0,301164000.0,239578000.0,209631000.0,215176000.0,122657000.0,61643000.0
Inventories,148079000.0,144595000.0,141045000.0,138553000.0,120272000.0,117639000.0,109626000.0,109638000.0,107378000.0,83709000.0,67977000.0
Total current assets,1482720000.0,1896635000.0,1999024000.0,1877595000.0,1513807000.0,1051271000.0,909771000.0,653661000.0,581431000.0,295637000.0,289504000.0
Property Plant & Equipment Net,206242000.0,193727000.0,180085000.0,159459000.0,153045000.0,151416000.0,145265000.0,152532000.0,163596000.0,176168000.0,
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,23890000.0,22884000.0,25592000.0,26449000.0,30056000.0,28148000.0
Long-term investments,304322000.0,225639000.0,70685000.0,115173000.0,30175000.0,0.0,0.0,0.0,0.0,0.0,
Tax assets,110974000.0,87257000.0,10324000.0,0.0,0.0,4905000.0,5489000.0,12302000.0,36490000.0,50520000.0,
Total non-current assets,652606000.0,536575000.0,290729000.0,310438000.0,223938000.0,233105000.0,196865000.0,202763000.0,214414000.0,260805000.0,286385000.0
Total assets,2135326000.0,2433210000.0,2289753000.0,2188033000.0,1737745000.0,1284376000.0,1106636000.0,856424000.0,795845000.0,556442000.0,575889000.0
Payables,35060000.0,25697000.0,16394000.0,18853000.0,19480000.0,20795000.0,19387000.0,22977000.0,23321000.0,21905000.0,27979000.0
Short-term debt,0.0,0.0,0.0,0.0,912000.0,11974000.0,11330000.0,17073000.0,28195000.0,125367000.0,
Total current liabilities,216821000.0,215756000.0,209837000.0,245462000.0,310005000.0,253304000.0,192531000.0,198899000.0,190383000.0,129786000.0,230409000.0
Long-term debt,0.0,0.0,0.0,0.0,4976000.0,5888000.0,17269000.0,27614000.0,31225000.0,38380000.0,
Total debt,0.0,0.0,0.0,0.0,5888000.0,17862000.0,28599000.0,38906000.0,44687000.0,59420000.0,163747000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tax Liabilities,2985000.0,3228000.0,2114000.0,2232000.0,1901000.0,1739000.0,1879000.0,1851000.0,2342000.0,3813000.0,
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total non-current liabilities,7383000.0,7055000.0,6110000.0,5427000.0,10357000.0,10479000.0,23144000.0,34567000.0,34399000.0,42143000.0,49784000.0
Total liabilities,224204000.0,222811000.0,215947000.0,250889000.0,320362000.0,263783000.0,215675000.0,233466000.0,224782000.0,171929000.0,280193000.0
Other comprehensive income,-144108000.0,-110285000.0,-148133000.0,-123026000.0,-110966000.0,-22896000.0,16743000.0,23034000.0,18549000.0,24186000.0,21980000.0
Retained earnings (deficit),2481029000.0,2662327000.0,2451177000.0,1994821000.0,1453889000.0,969632000.0,609245000.0,343039000.0,295787000.0,113107000.0,49029000.0
Total shareholders equity,1905536000.0,2205158000.0,2067494000.0,1931142000.0,1411720000.0,1015507000.0,886347000.0,622958000.0,567264000.0,381312000.0,292968000.0
Investments,786205000.0,1071648000.0,857046000.0,767042000.0,468731000.0,422428000.0,323216000.0,108795000.0,34693000.0,20974000.0,
Net Debt,-1049334000.0,-1422620000.0,,,,,,,,,
Other Assets,3904280000.0,0.0,,,,,,,,,
Other Liabilities,181761000.0,190059000.0,193443000.0,226609000.0,289613000.0,220535000.0,161814000.0,149989000.0,79686000.0,77063000.0,
