Date,2018-04,2017-04,2016-04,2015-04,2014-04
Revenue,175000000.0,174000000.0,173000000.0,162000000.0,160000000.0
Revenue Growth,,,,,
Cost of Revenue,29000000.0,34000000.0,44000000.0,47000000.0,42000000.0
Gross Profit,146000000.0,140000000.0,129000000.0,115000000.0,117000000.0
R&D Expenses,,,,,
SG&A Expense,119000000.0,103000000.0,87000000.0,82000000.0,73000000.0
Operating Expenses,133000000.0,117000000.0,97000000.0,92000000.0,82000000.0
Operating Income,13000000.0,23000000.0,32000000.0,24000000.0,35000000.0
Interest Expense,3000000.0,3000000.0,2000000.0,2000000.0,1000000.0
Earnings before Tax,4000000.0,21000000.0,30000000.0,14000000.0,36000000.0
Income Tax Expense,4000000.0,8000000.0,11000000.0,5000000.0,14000000.0
Net Income - Non-Controlling int,,,,,
Net Income - Discontinued ops,,,,,
Net Income,0000000.0,13000000.0,19000000.0,9000000.0,22000000.0
Preferred Dividends,,,,,
Net Income Com,0000000.0,13000000.0,19000000.0,9000000.0,22000000.0
EPS,0.01,0.94,1.41,0.63,1.57
EPS Diluted,0.01,0.94,1.38,0.61,1.51
Weighted Average Shs Out,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0
Weighted Average Shs Out (Dil),14000000.0,14000000.0,14000000.0,14000000.0,15000000.0
Dividend per Share,,,,,
Gross Margin,0.83428571428571,0.80459770114943,0.74566473988439,0.70987654320988,0.73125
EBITDA Margin,0.12571428571429,0.2183908045977,0.2485549132948,0.15432098765432,0.2875
EBIT Margin,0.04,0.13793103448276,0.1849710982659,0.098765432098765,0.23125
Profit Margin,0,0.074712643678161,0.10982658959538,0.055555555555556,0.1375
Free Cash Flow margin,,,,,
EBITDA,22000000.0,38000000.0,43000000.0,25000000.0,46000000.0
EBIT,7000000,24000000,32000000,16000000,37000000
Consolidated Income,0000000.0,13000000.0,19000000.0,9000000.0,22000000.0
Earnings Before Tax Margin,0.022857142857143,0.12068965517241,0.17341040462428,0.08641975308642,0.225
Net Profit Margin,0,0.074712643678161,0.10982658959538,0.055555555555556,0.1375
