Date,2019-03-30,2018-03-31,2017-04-01,2016-04-02,2016-02-27,2015-02-28,2014-03-01,2013-03-02,2012-02-25
Cash and cash equivalents,7364000.0,8399000.0,10736000.0,0.0,13609000.0,24994000.0,18046000.0,25351000.0,51163000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,7364000.0,8399000.0,10736000.0,0.0,13609000.0,24994000.0,18046000.0,25351000.0,51163000.0
Receivables,25568000.0,25528000.0,27476000.0,0.0,28843000.0,24319000.0,32273000.0,25536000.0,20772000.0
Inventories,108650000.0,97362000.0,103120000.0,0.0,86435000.0,83724000.0,85595000.0,82443000.0,70626000.0
Total current assets,164368000.0,154194000.0,162685000.0,0.0,146431000.0,156942000.0,164407000.0,157222000.0,159296000.0
Property, Plant & Equipment Net,152588000.0,158389000.0,165498000.0,0.0,176117000.0,169053000.0,161431000.0,141177000.0,122563000.0
Goodwill and Intangible Assets,427965000.0,432216000.0,429500000.0,0.0,431183000.0,432248000.0,445105000.0,444755000.0,458691000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,2915000.0,2419000.0,2155000.0,2247000.0,6693000.0,5373000.0,1505000.0,1203000.0,
Total non-current assets,584376000.0,595175000.0,599149000.0,611688000.0,612115000.0,618742000.0,595598000.0,587382000.0,
Total assets,748744000.0,749369000.0,761834000.0,0.0,758119000.0,769057000.0,783149000.0,752820000.0,746678000.0
Payables,58734000.0,43692000.0,44762000.0,0.0,40274000.0,48904000.0,49282000.0,48340000.0,47207000.0
Short-term debt,12527000.0,7771000.0,5445000.0,0.0,6094000.0,8153000.0,23560000.0,22505000.0,18665000.0
Total current liabilities,141275000.0,126537000.0,113052000.0,0.0,116003000.0,119136000.0,135089000.0,125300000.0,105431000.0
Long-term debt,254960000.0,277394000.0,312026000.0,0.0,316135000.0,326775000.0,327724000.0,276348000.0,292561000.0
Total debt,267487000.0,285165000.0,317471000.0,322229000.0,334928000.0,351284000.0,298853000.0,311226000.0,
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Tax Liabilities,54553000.0,59419000.0,83417000.0,80720000.0,85153000.0,88945000.0,90420000.0,95966000.0,
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total non-current liabilities,342776000.0,374125000.0,426992000.0,435048000.0,448059000.0,450874000.0,394145000.0,408258000.0,
Total liabilities,484051000.0,500662000.0,540044000.0,0.0,551051000.0,567195000.0,585963000.0,519445000.0,513689000.0
Other comprehensive income,-26132000.0,-17316000.0,-22643000.0,-19835000.0,-18342000.0,1683000.0,2713000.0,2299000.0,
Retained earnings (deficit),-573634000.0,-595721000.0,-615149000.0,0.0,-630456000.0,-635598000.0,-658271000.0,-223830000.0,-223700000.0
Total shareholders equity,264693000.0,248707000.0,221790000.0,0.0,207068000.0,201862000.0,197186000.0,233375000.0,232989000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,260123000.0,276766000.0,306735000.0,308620000.0,309934000.0,333238000.0,273502000.0,260063000.0,
Other Assets,22786000.0,22905000.0,21353000.0,17544000.0,23905000.0,28493000.0,23892000.0,16735000.0,
Other Liabilities,70014000.0,75074000.0,62845000.0,0.0,69635000.0,62079000.0,62247000.0,54455000.0,39559000.0
