Date,2019-01-31,2018-01-31,2017-01-31,2016-01-31,2015-01-31,2014-01-31,2013-01-31,2012-01-31,2011-01-31,2010-01-31
Depreciation & Amortization,160509000.0,153372000.0,55272000.0,58092000.0,69010000.0,73243000.0,58441000.0,66326000.0,57563000.0,45954000.0
Stock-based compensation,31500000.0,29381000.0,13947000.0,14890000.0,13668000.0,8858000.0,13616000.0,10699000.0,9887000.0,10262000.0
Operating Cash Flow,380135000.0,1097069000.0,656843000.0,188993000.0,119381000.0,379148000.0,120753000.0,503412000.0,103843000.0,535465000.0
Capital Expenditure,40995000.0,192235000.0,24971000.0,20917000.0,18639000.0,15598000.0,14871000.0,13385000.0,18614000.0,-8995000.0
Acquisitions and disposals,-124223000.0,-2249849000.0,-2916000.0,-27848000.0,-0.0,6377000.0,-310253000.0,-24898000.0,-141138000.0,-8153000.0
Investment purchases and sales,-107025000.0,0.0,0.0,-147003000.0,-52997000.0,0.0,-185114000.0,-314886000.0,-200000000.0,0.0
Investing Cash flow,-171709000.0,-2481786000.0,-42251000.0,-41800000.0,-21054000.0,-24011000.0,-345677000.0,-69268000.0,-173040000.0,-31527000.0
Issuance (repayment) of debt,-208591000.0,-861394000.0,-0.0,-319000.0,-546000.0,-538000.0,-500000.0,-352316000.0,-454000.0,-24770000.0
Issuance (buybacks) of shares,-107025000.0,0.0,0.0,-147003000.0,-52997000.0,0.0,-185114000.0,-314886000.0,-200000000.0,37959000.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Financing Cash Flow,-332235000.0,119894000.0,976495000.0,-143348000.0,-49129000.0,-127311000.0,80294000.0,-670841000.0,-206358000.0,37360000.0
Effect of forex changes on cash,-32696000.0,94860000.0,3335000.0,-15671000.0,-72057000.0,1711000.0,-1068000.0,-21850000.0,-1090000.0,38793000.0
Net cash flow / Change in cash,-156505000.0,-1169963000.0,1594422000.0,-11826000.0,-22859000.0,229537000.0,-145698000.0,-258547000.0,-276645000.0,580091000.0
Free Cash Flow,339140000.0,904834000.0,631872000.0,168076000.0,100742000.0,363550000.0,105882000.0,490027000.0,85229000.0,526470000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3374
