Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Cash and cash equivalents,392809000.0,224787000.0,682837000.0,793033000.0,549554000.0,70766000.0
Short-term investments,14371000.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,407180000.0,224787000.0,682837000.0,793033000.0,549554000.0,70766000.0
Receivables,145357000.0,94050000.0,106153000.0,103811000.0,32036000.0,1505000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,501185000.0,341536000.0,893016000.0,936761000.0,593772000.0,106358000.0
Property, Plant & Equipment Net,6470026000.0,4801925000.0,4993251000.0,5834234000.0,2648212000.0,407356000.0
Goodwill and Intangible Assets,2116957000.0,1077786000.0,1142112000.0,1302038000.0,361673000.0,22600000.0
Long-term investments,90984000.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,4606000.0,38409000.0
Total non-current assets,8829169000.0,6045485000.0,6812849000.0,7280648000.0,3086651000.0,460519000.0
Total assets,9330354000.0,6387021000.0,7705865000.0,8217409000.0,3680423000.0,566877000.0
Payables,188391000.0,89661000.0,125596000.0,179644000.0,278044000.0,90739000.0
Short-term debt,464332000.0,403488000.0,2212968000.0,2037919000.0,100488000.0,37455000.0
Total current liabilities,688282000.0,513853000.0,2395233000.0,2233023000.0,402796000.0,128622000.0
Long-term debt,5297513000.0,3195312000.0,1737946000.0,2524730000.0,1599277000.0,399825000.0
Total debt,5761845000.0,3598800000.0,3950914000.0,4562649000.0,1699765000.0,437280000.0
Deferred revenue,0.0,55933000.0,73972000.0,85952000.0,76478000.0,5804000.0
Tax Liabilities,178849000.0,24972000.0,27723000.0,26630000.0,7702000.0,6600000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,5873655000.0,3450796000.0,2412266000.0,2868406000.0,1737368000.0,422803000.0
Total liabilities,6561937000.0,3964649000.0,4807499000.0,5101429000.0,2140164000.0,551425000.0
Other comprehensive income,40238000.0,48018000.0,22912000.0,22900000.0,-1637000.0,0.0
Retained earnings (deficit),-359603000.0,-387204000.0,-234440000.0,-104593000.0,-26317000.0,0.0
Total shareholders equity,2067454000.0,1527713000.0,1252957000.0,1184743000.0,471392000.0,2674000.0
Investments,105355000.0,0.0,0.0,0.0,0.0,0.0
Net Debt,5354665000.0,3374013000.0,3268077000.0,3769616000.0,1150211000.0,366514000.0
Other Assets,-51352000.0,22699000.0,104026000.0,39917000.0,12182000.0,34087000.0
Other Liabilities,35559000.0,20704000.0,56669000.0,15460000.0,24264000.0,428000.0
