date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2011-05-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-05-31_FY,2006-05-31_FY,2005-05-31_FY,2004-05-31_FY,2003-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-4518718.0,-3826410.0,-4192040.0,-6432060.0,-7190630.0,-4812820.0,-7767100.0,-9850000.0,-56643462.0,-43309957.0,-10463396.632032,-16934875.653954,-8966901.834862,-2433963.592477,-8102871.43525,-115551.519005,-96810.002709,-179337.933059,-42242.622951
,depreciationAndAmortization,7602.0,2320.0,3040.0,4010.0,5280.0,7050.0,15780.0,20000.0,31660.0,21830.0,43379.229155,26989.347183,50088.990826,46271.748969,31465.17064,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,385531.0,405857.0,189396.0,61998.0,108526.0,540468.0,1285385.0,3564273.0,9206975.0,7645269.0,3331949.634028,9383948.745166,3762755.963303,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,5877961.0,-3044560.0,7891620.0,-5595500.0,1419630.0,-6445130.0,-85640.0,-14976797.0,-18136821.0,-65108655.634642,70220279.548661,10922805.095156,19118017.312257,-9127406.161544,19775573.889338,56554.62575,-134154.022011,-83817.782291,1559.92714
,accountsReceivables,94795.0,-15266.0,-99480.0,4129.0,40522.0,115527.0,44744.0,393437.0,174537.0,-283612.0,-77308.69632,-31917.696565,-47523.853211,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,12718381.0,6840420.0,9884980.0,1993360.0,7588860.0,6169230.0,12614360.0,12700000.0,27676797.0,45813618.0,110922273.634642,40701994.085981,29779188.990825,10661171.678568,19788577.840112,13003.950774,-43550.674976,90603.347035,174421.129326
,otherNonCashItems,0.0,405860.0,623770.0,543050.0,902700.0,-40130.0,1200390.0,-3250000.0,-42017.0,0.0,-122843.834775,2015039.047691,2403874.311927,384164.739012,6742100.981767,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-3888935.0,-3659630.0,-3491730.0,-5825370.0,-6364950.0,-5339790.0,-6843580.0,-14820000.0,-52399651.0,-30623586.0,-7031988.534575,-5336785.38934,-2734523.853211,-2111429.146133,-1400331.930809,-124356.750375,-130312.544826,-43609.072225,-40682.695811
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2968.0,-36747490.402825,-20560661.346577,-11495954.12844,-10232136.176204,-5297123.889668,-3454.883974,-73000.175318,-23575.30828,-27905.282332
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,14519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37183.430821,0.0,0.0
,otherInvestingActivites,0.0,-101692.0,-69391.0,350157.0,469283.0,-1688199.0,-851639.0,-30477.0,-2124058.0,-25317690.0,522882.735321999,0.0,0.0,0.0,9350.16362799983,17902.002633,19922.54116,0.0,0.0
,netCashUsedForInvestingActivites,0.0,-101692.0,-54872.0,0.0,0.0,0.0,0.0,-30477.0,-2124058.0,-25320658.0,-36224607.667503,-20560661.346577,-11495954.12844,-10232136.176204,-5287773.72604,14447.118659,-15894.203337,-23575.30828,-27905.282332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,10299277.0,64254.0,12181026.0,0.0,22015404.0,11479348.0,7315917.0,0.0,29768529.0,221119.0,120877329.170292,37563507.468345,34783462.385321,1216207.382078,28030550.724638,181644.793606,0.0,0.0,0.0
,commonStockRepurchased,0.0,64250.0,12181030.0,0.0,22015400.0,0.0,7315920.0,0.0,0.0,0.0,-4362076.060808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-480946.0,-64250.0,-12292409.0,-14746815.0,-22162135.0,-4985862.0,-7340748.0,13925601.0,-554280.0,0.0,-4160835.338076,-1226370.460232,-896867.889908001,15690.435482,-864111.266947001,-72657.917442,63752.131712,0.0,0.0
,netCashUsedProvidedByFinancingActivities,9818331.0,64254.0,12069647.0,-14746815.0,21868669.0,0.0,7291089.0,0.0,29214249.0,221119.0,112354417.771408,36337137.008113,33886594.495413,1231897.81756,27166439.457691,108986.876164,63752.131712,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
