Date,2018-11-30,2017-11-30,2016-11-30,2015-11-30,2014-11-30,2013-11-30,2012-11-30,2011-11-30
Cash and cash equivalents,22991000.0,5391000.0,7340000.0,16064000.0,5074000.0,6484000.0,22244000.0,1000.0
Short-term investments,0.0,2516000.0,7538000.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,22991000.0,7907000.0,14878000.0,16064000.0,5074000.0,6484000.0,22244000.0,1000.0
Receivables,23000.0,470000.0,47000.0,39000.0,176000.0,90000.0,365000.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,23633000.0,9100000.0,15649000.0,16885000.0,5825000.0,7165000.0,23163000.0,97000.0
Property, Plant & Equipment Net,30912000.0,31065000.0,30801000.0,30759000.0,31001000.0,31734000.0,32533000.0,31675000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,297000.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,31026000.0,31179000.0,31098000.0,34296000.0,31001000.0,31734000.0,32533000.0,31675000.0
Total assets,54659000.0,40279000.0,46747000.0,51181000.0,36826000.0,38899000.0,55696000.0,31772000.0
Payables,1657000.0,4249000.0,593000.0,712000.0,979000.0,1742000.0,1973000.0,521000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,1657000.0,4249000.0,593000.0,751000.0,979000.0,1742000.0,1973000.0,521000.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,20800000.0,10365000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total liabilities,22457000.0,14614000.0,593000.0,751000.0,979000.0,1742000.0,1973000.0,521000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-154807000.0,-132868000.0,-111764000.0,-106902000.0,-97370000.0,-87722000.0,-63328000.0,-32310000.0
Total shareholders equity,32202000.0,25665000.0,46154000.0,50430000.0,35847000.0,37157000.0,53723000.0,31251000.0
Investments,0.0,2516000.0,7835000.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-22991000.0,-7907000.0,-14878000.0,-16064000.0,-5074000.0,-6484000.0,-22244000.0,-1000.0
Other Assets,619000.0,723000.0,724000.0,782000.0,575000.0,591000.0,554000.0,96000.0
Other Liabilities,0.0,0.0,0.0,39000.0,0.0,0.0,0.0,0.0
