date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,revenue,1670137000.0,1436500000.0,1029624000.0,930281000.0,754877000.0,585852000.0,320747000.0,215054000.0
,costOfRevenue,3167470000.0,1358652000.0,956783000.0,817572000.0,677872000.0,544107000.0,306095000.0,206789000.0
,grossProfit,64099000.0,77848000.0,72841000.0,112709000.0,77005000.0,41745000.0,14652000.0,8265000.0
,grossProfitRatio,0.0383794862337641,0.0541928297946397,0.0707452429236304,0.121155865808288,0.102009996330528,0.0712551975584277,0.0456808637337216,0.0384322077245715
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,33496000.0,39916000.0,48123000.0,40373000.0,33892000.0,14126000.0,9175000.0,7566000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-26509000.0,3648000.0,4650000.0,1191000.0,238000.0,246000.0,539000.0,140000.0
,operatingExpenses,33496000.0,39916000.0,48123000.0,40373000.0,33892000.0,14126000.0,9175000.0,7566000.0
,costAndExpenses,3200966000.0,1398568000.0,1004906000.0,857945000.0,711764000.0,558233000.0,315270000.0,214355000.0
,interestExpense,10501000.0,8179000.0,10417000.0,12381000.0,17614000.0,14565000.0,7236000.0,3474000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,49667000.0,38580000.0,26429000.0,20878000.0,12897000.0,11416000.0,7441000.0,5250000.0
,EBITDA,68433000.0,76512000.0,51147000.0,93214000.0,56010000.0,39035000.0,12918000.0,5949000.0
,EBITDARatio,0.0409744829316397,0.0532627915071354,0.0496754154914804,0.100199832093744,0.0741975182711885,0.0666294559035388,0.0402747336685924,0.0276628195708985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,18766000.0,37932000.0,24718000.0,72336000.0,43113000.0,27619000.0,5477000.0,699000.0
,operatingIncomeRatio,0.011236203976081,0.026405847546119,0.0240068219078032,0.0777571507963723,0.0571126156976567,0.0471433058178516,0.0170757637639635,0.00325034642461893
,totalOtherIncomeExpensesNet,0.0,-22503000.0,-12236000.0,-3280000.0,-5006000.0,-1556000.0,-4150000.0,-1752000.0
,incomeBeforeTax,-7743000.0,7407000.0,2246000.0,56770000.0,20837000.0,11659000.0,-5723000.0,-4372000.0
,incomeBeforeTaxRatio,-0.00463614661551717,0.00515628263139575,0.00218137883343823,0.0610245721454055,0.027603172437364,0.0199009306104613,-0.0178427233925804,-0.0203297776372446
,incomeTaxExpense,-11284000.0,23115000.0,-3033000.0,13080000.0,6995000.0,3977000.0,925000.0,-3346000.0
,netIncome,-19027000.0,-15708000.0,5279000.0,43690000.0,13842000.0,7682000.0,-6648000.0,1279000.0
,netIncomeRatio,-0.0113924785810984,-0.0109349112426036,0.00512711436407854,0.0469643043338518,0.0183367621480056,0.0131125267132313,-0.0207266163050629,0.0059473434579222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.535489136552966,-0.45,0.153857363527732,1.29,0.789617798060468,0.289351764661569,-0.250404911672756,-0.484764
,EPSDiluted,-0.535489136552966,-0.45,0.146630742736515,1.25,0.785762942779292,0.289286386744493,-0.250348333647147,-0.484764
,weightedAverageShsOut,35532000.0,35062000.0,34311000.0,33844000.0,17530000.0,26549000.0,26549000.0,26549000.0
,weightedAverageShsOutDil,35532000.0,35062000.0,36002000.0,34862000.0,17616000.0,26555000.0,26555000.0,26555000.0
