Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Cash and cash equivalents,34195000.0,17970000.0,25459000.0,46886000.0,36317969.0,38077198.0,6952659.0
Short-term investments,28590000.0,49543000.0,86335000.0,125864000.0,70698640.0,0.0,0.0
Cash and short-term investments,62785000.0,67513000.0,111794000.0,172750000.0,107016609.0,38077198.0,6952659.0
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,11875.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,62089000.0,67493000.0,112389000.0,174531000.0,107573354.0,41922242.0,7008213.0
Property, Plant & Equipment Net,3387000.0,3805000.0,1059000.0,696000.0,553294.0,343059.0,909801.0
Goodwill and Intangible Assets,0.0,11000.0,13000.0,15000.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,4690000.0,5229000.0,2265000.0,823000.0,665704.0,470684.0,1079473.0
Total assets,66779000.0,72722000.0,114654000.0,175354000.0,108239058.0,42392926.0,8087686.0
Payables,1416000.0,1424000.0,8749000.0,6750000.0,4342480.0,545053.0,459035.0
Short-term debt,12562000.0,12425000.0,5039000.0,0.0,0.0,0.0,2085129.0
Total current liabilities,17490000.0,18213000.0,22048000.0,13574000.0,6959108.0,2736959.0,3931600.0
Long-term debt,4831000.0,15756000.0,13288000.0,18194000.0,1703561.0,0.0,2783078.0
Total debt,17393000.0,28181000.0,18327000.0,18194000.0,1703561.0,0.0,4868207.0
Deferred revenue,0.0,0.0,0.0,3750000.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,7763000.0,19876000.0,14025000.0,18649000.0,2076322.0,664438.0,4195267.0
Total liabilities,25253000.0,38089000.0,36073000.0,32223000.0,9035430.0,3401397.0,8126867.0
Other comprehensive income,-9000.0,-42000.0,2000.0,-206000.0,-18782.0,0.0,0.0
Retained earnings (deficit),-388274000.0,-357490000.0,-285625000.0,-182498000.0,-131969725.0,-82268850.0,-59017415.0
Total shareholders equity,41526000.0,34633000.0,78581000.0,143131000.0,99203628.0,-81570609.0,-58997015.0
Investments,28590000.0,49543000.0,86335000.0,125864000.0,70698640.0,0.0,0.0
Net Debt,-45392000.0,-39332000.0,-93467000.0,-154556000.0,-105313048.0,-38077198.0,-2084452.0
Other Assets,-696000.0,-20000.0,595000.0,1781000.0,556745.0,3845044.0,43679.0
Other Liabilities,3512000.0,4364000.0,8260000.0,6824000.0,2616628.0,2191906.0,1387436.0
