date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-113940300000.0,-293142700000.0,66660800000.0,61210500000.0,95883400000.0
,depreciationAndAmortization,207632100000.0,230197800000.0,209818200000.0,182405400000.0,168074900000.0
,deferredIncomeTax,3644500000.0,-25425000000.0,38058500000.0,35670000000.0,27512700000.0
,stockBasedCompensation,47000000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,51125600000.0,-63336000000.0,-58317600000.0,33822200000.0,13332800000.0
,accountsReceivables,79131100000.0,9547000000.0,-43265800000.0,-23677800000.0,-7945600000.0
,inventory,23251800000.0,20686400000.0,-35604300000.0,-66309400000.0,-57341500000.0
,accountsPayables,-76794300000.0,-26810700000.0,72565700000.0,84935100000.0,40776500000.0
,otherWorkingCapital,13161800000.0,24411500000.0,3516300000.0,48109700000.0,43039500000.0
,otherNonCashItems,60856200000.0,51200600000.0,3152500000.0,36725000000.0,40726000000.0
,netCashProvidedByOperatingActivites,266329400000.0,188907500000.0,238574200000.0,303107300000.0,374713000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-143191700000.0,-174195500000.0,-198654300000.0,-162798700000.0,-159537900000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-402142000000.0,-241983800000.0,-481970700000.0,-447493000000.0,-481694000000.0
,salesMaturitiesOfInvestments,345358000000.0,384914100000.0,547243200000.0,354115400000.0,416205100000.0
,otherInvestingActivites,-973400000.0,-2816800000.0,-1783600000.0,5204400000.0,-1884700000.0
,netCashUsedForInvestingActivites,-341702200000.0,-197110900000.0,-262016100000.0,-382727600000.0,-370501300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-307298100000.0,-351980200000.0,-299638700000.0,-217320900000.0,-235859200000.0
,commonStockIssued,0.0,0.0,0.0,51700000.0,74906700000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,-730000000.0,0.0
,otherFinancingActivites,-1756800000.0,-2655600000.0,-1616300000.0,-1621800000.0,-2719600000.0
,netCashUsedProvidedByFinancingActivities,33896000000.0,88303700000.0,20117100000.0,62053000000.0,-37928700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,10556800000.0,-14109200000.0,13064100000.0,-14101200000.0,7822200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-30920000000.0,68430500000.0,7299900000.0,-31668500000.0,-25894800000.0
,cashAtEndOfPeriod,184678000000.0,215598000000.0,147167500000.0,139867600000.0,171536100000.0
,cashAtBeginningOfPeriod,215598000000.0,147167500000.0,139867600000.0,171536100000.0,197430900000.0
,operatingCashFlow,266329400000.0,188907500000.0,238574200000.0,303107300000.0,374713000000.0
,capitalExpenditure,-297020300000.0,-353035200000.0,-350789200000.0,-306597600000.0,-311602600000.0
,freeCashFlow,-30690900000.0,-164127700000.0,-112215000000.0,-3490300000.0,63110400000.0
