Date,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31,2009-10-31
Cash and cash equivalents,1391986000.0,1246371000.0,1281214000.0,1059911000.0,1080798000.0,1129239000.0,409991000.0,420279000.0,280359000.0,145838000.0,102083000.0
Short-term investments,744485000.0,615406000.0,448932000.0,470820000.0,186929000.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,2136471000.0,1861777000.0,1730146000.0,1530731000.0,1267727000.0,1129239000.0,409991000.0,420279000.0,280359000.0,145838000.0,102083000.0
Receivables,395729000.0,247649000.0,219558000.0,168527000.0,217860000.0,53143000.0,189596000.0,45035000.0,84217000.0,74135000.0,181065000.0
Inventories,28200000.0,15162000.0,16323000.0,15888000.0,20051000.0,29780000.0,30218000.0,22477000.0,24578000.0,24479000.0,26687000.0
Total current assets,2827835000.0,2409177000.0,2195242000.0,2045276000.0,1779859000.0,1399440000.0,866152000.0,743617000.0,566603000.0,426600000.0,378561000.0
Property, Plant & Equipment Net,127882000.0,102478000.0,67300000.0,77127000.0,69792000.0,42572000.0,25362000.0,18949000.0,19632000.0,23571000.0,27049000.0
Goodwill and Intangible Assets,1087148000.0,1175864000.0,893008000.0,614907000.0,509771000.0,457527000.0,529015000.0,560414000.0,512999000.0,492966000.0,486967000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,134732000.0,4930000.0,0.0,0.0,0.0,0.0,0.0,0.0,8280000.0,8654000.0,8814000.0
Total non-current assets,1415230000.0,1328664000.0,953912000.0,545001000.0,448214000.0,400190000.0,411687000.0,405810000.0,405056000.0,412676000.0,107209000.0
Total assets,4243065000.0,3737841000.0,3149154000.0,2590277000.0,2228073000.0,1799630000.0,1277839000.0,1149427000.0,971659000.0,839276000.0,1007128000.0
Payables,72797000.0,35029000.0,31892000.0,30448000.0,38789000.0,16452000.0,79932000.0,46681000.0,56153000.0,45913000.0,114379000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,1951794000.0,1726929000.0,1685892000.0,1220411000.0,966260000.0,474820000.0,336999000.0,218725000.0,230888000.0,209867000.0,354293000.0
Long-term debt,0.0,8068000.0,251929000.0,497935000.0,473030000.0,454031000.0,335202000.0,316340000.0,107239000.0,99865000.0,97063000.0
Total debt,0.0,8068000.0,251929000.0,497935000.0,473030000.0,454031000.0,335202000.0,316340000.0,107239000.0,99865000.0,97063000.0
Deferred revenue,864360000.0,1132741000.0,913531000.0,798803000.0,647351000.0,79323000.0,26919000.0,13864000.0,13434000.0,11944000.0,6334000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12037000.0,8921000.0,10146000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,250691000.0,521942000.0,459534000.0,788481000.0,698725000.0,523004000.0,352845000.0,334975000.0,125492000.0,108786000.0,107209000.0
Total liabilities,2202485000.0,2248871000.0,2145426000.0,2008892000.0,1664985000.0,997824000.0,689844000.0,553700000.0,356380000.0,318653000.0,461502000.0
Other comprehensive income,-37189000.0,-15732000.0,-47142000.0,-37896000.0,-30624000.0,2116000.0,-4572000.0,6733000.0,10459000.0,-3713000.0,8192000.0
Retained earnings (deficit),877626000.0,73516000.0,-99694000.0,-166997000.0,-158695000.0,120775000.0,-240830000.0,-211339000.0,-102523000.0,-150981000.0,-122179000.0
Total shareholders equity,2040580000.0,1488970000.0,1003728000.0,581385000.0,563088000.0,801806000.0,587995000.0,595727000.0,615279000.0,520623000.0,545626000.0
Investments,744485000.0,615406000.0,448932000.0,470820000.0,186929000.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,-2136471000.0,-1853709000.0,-1478217000.0,-1032796000.0,-794697000.0,-675208000.0,-74789000.0,-103939000.0,-173120000.0,-45973000.0,-5020000.0
Other Assets,267435000.0,284589000.0,229215000.0,330130000.0,274221000.0,187278000.0,236347000.0,255826000.0,177449000.0,182148000.0,318732000.0
Other Liabilities,1878997000.0,1691900000.0,1654000000.0,1189963000.0,927471000.0,458368000.0,257067000.0,172044000.0,174735000.0,163954000.0,239914000.0
